subcontrol_id,code,control,subdomain,text,source_document
1-5-3-1,1-5-3-1,1-5-3,1-5,At early stage of technology projects.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-5-3-2,1-5-3-2,1-5-3,1-5,Before making major changes to technology infrastructure.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-5-3-3,1-5-3-3,1-5-3,1-5,During planning to obtain third party services.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-5-3-4,1-5-3-4,1-5-3,1-5,During planning and before the release of new technology services and products.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-6-2-1,1-6-2-1,1-6-2,1-6,Vulnerability assessment and remediation.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-6-2-2,1-6-2-2,1-6-2,1-6,Reviewing secure configuration and hardening and updates packages before launching projects and changes.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-6-3-1,1-6-3-1,1-6-3,1-6,Using the secure coding standards.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-6-3-2,1-6-3-2,1-6-3,1-6,Using trusted and licensed sources for software development tools and libraries.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-6-3-3,1-6-3-3,1-6-3,1-6,Conducting compliance test for software against the cybersecurity requirements within the entity.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-6-3-4,1-6-3-4,1-6-3,1-6,Secure integration between applications.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-6-3-5,1-6-3-5,1-6-3,1-6,Reviewing secure configuration and hardening and updates packages before launching software products,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-9-3-1,1-9-3-1,1-9-3,1-9,Incorporating the personnel’s cybersecurity responsibilities clauses and non- disclosure clauses in their employment contracts with the entity (including during and after employment end/termination with the entity).,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-9-3-2,1-9-3-2,1-9-3,1-9,Conducting screening or vetting for personnel in cybersecurity positions and technical positions with critical and privileged powers.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-9-4-1,1-9-4-1,1-9-4,1-9,Cybersecurity awareness (during on-boarding and during employment).,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-9-4-2,1-9-4-2,1-9-4,1-9,"Implementation and compliance with cybersecurity requirements, as per the entity’s cybersecurity policies, procedures, and operations.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-10-3-1,1-10-3-1,1-10-3,1-10,"Secure handling of email services, especially phishing emails.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-10-3-2,1-10-3-2,1-10-3,1-10,Secure handling of mobile devices and storage media.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-10-3-3,1-10-3-3,1-10-3,1-10,Secure Internet browsing.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-10-3-4,1-10-3-4,1-10-3,1-10,Secure usage of social media.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-10-4-1,1-10-4-1,1-10-4,1-10,Cybersecurity department personnel.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-10-4-2,1-10-4-2,1-10-4,1-10,Personnel working on software/application development and those working on information and technology assets of the entity.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-10-4-3,1-10-4-3,1-10-4,1-10,Executive and supervisory positions.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-2-3-1,2-2-3-1,2-2-3,2-2,Single-factor authentication based on username and password.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-2-3-2,2-2-3-2,2-2-3,2-2,"Multi-factor authentication, and defining the suitable authentication factors and their numbers as well as the suitable authentication techniques based on the result of impact assessment of authentication failure and bypass for remote access and for privileged accounts.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-2-3-3,2-2-3-3,2-2-3,2-2,"User authorization based on identity and access control principles (Need-to- Know and Need-to-Use principle, Least Privilege principle, and Segregation of Duties principle).","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-2-3-4,2-2-3-4,2-2-3,2-2,Privileged access management.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-2-3-5,2-2-3-5,2-2-3,2-2,Periodic review of identities and access rights.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-3-3-1,2-3-3-1,2-3-3,2-3,"Protection from viruses, suspicious programs and activities, and malware on workstations and servers, using modern and advanced protection technologies and mechanisms, and securely managing them.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-3-3-2,2-3-3-2,2-3-3,2-3,Strict restriction on the use of external storage media and their security.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-3-3-3,2-3-3-3,2-3-3,2-3,"Patch management for systems, applications, and devices.","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-3-3-4,2-3-3-4,2-3-3,2-3,"Centralized clock synchronization with an accurate and trusted source, such as sources provided by the Saudi Standards, Metrology and Quality Organization (SASO).","NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-4-3-1,2-4-3-1,2-4-3,2-4,Analyzing and filtering email messages (specifically phishing emails and spam emails) using modern and advanced email protection techniques and mechanisms.,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
