source_id,target_id,rel_type,update_type
UPD-01,SEC-scope-of-work,UPDATES,Modification
UPD-02,SEC-statement-of-applicability,UPDATES,Deletion
UPD-03,1-2-2,UPDATES,Modification
UPD-05,1-7-1,UPDATES,Modification
UPD-06,2-2-3-1,UPDATES,Modification
UPD-07,2-2-3-2,UPDATES,Modification
UPD-08,2-4-3-2,UPDATES,Modification
UPD-09,2-4-3-5,UPDATES,Modification
UPD-10,2-5-3-9,UPDATES,Addition
UPD-11,2-7-2,UPDATES,Modification
UPD-13,2-8-3,UPDATES,Modification
UPD-14,2-15-3-5,UPDATES,Modification
UPD-15,4-1,UPDATES,Modification
UPD-16,4-1-3,UPDATES,Modification
UPD-17,4-2-3-1,UPDATES,Modification
UPD-20,TERM-sensitive-data-information,UPDATES,Modification
UPD-21,TERM-critical-national-infrastructure-cni,UPDATES,Modification
UPD-22,TERM-cyber-attack,UPDATES,Modification
UPD-23,TERM-event,UPDATES,Modification
UPD-24,TERM-incident,UPDATES,Modification
UPD-25,TERM-international-requirements,UPDATES,Modification
UPD-26,TERM-multi-factor-authentication-mfa,UPDATES,Modification
UPD-28,TERM-threat,UPDATES,Modification
UPD-29,TERM-vulnerability,UPDATES,Modification
