subdomain_id,code,name,objective,main_domain,source_document
1-1,1-1,Cybersecurity Strategy,"To ensure that the action plans, objectives, initiatives, and projects of the entity contribute to compliance with the relevant legislative and regulatory requirements.",1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-2,1-2,Cybersecurity Management,"To ensure that the Authorized Official of the entity complies with and supports the implementation and management of cybersecurity programs within the entity, as per the relevant legislative and regulatory requirements.",1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-3,1-3,Cybersecurity Policies and Procedures,"To ensure that the cybersecurity requirements and the entity’s compliance therewith are documented and communicated, as per the entity’s regulatory requirements and the relevant legislative and regulatory requirements.",1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-4,1-4,Cybersecurity Roles and Responsibilities,To ensure that roles and responsibilities are clearly defined for all parties participating in implementing the cybersecurity controls within the entity.,1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-5,1-5,Cybersecurity Risk Management,"To ensure managing cybersecurity risks in a methodological approach, in order to protect the entity’s information and technology assets, as per the entity’s regulatory policies and procedures and the relevant legislative and regulatory requirements.",1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-6,1-6,Cybersecurity in Information and Technology Project Management,"To ensure that cybersecurity requirements are included in the methodology and procedures of the entity’s project management, in order to protect the confidentiality, integrity, accuracy, and availability of the entity’s information and technology assets, as per the entity’s regulatory policies and procedures and the relevant legislative and regulatory requirements.",1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-7,1-7,"Compliance with Cybersecurity Standards, Laws and Regulations",To ensure that the entity’s cybersecurity program complies with the relevant legislative and regulatory requirements.,1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-8,1-8,Periodical Cybersecurity Review and Audit,"To ensure that the cybersecurity controls adopted by the entity are implemented and applicable in accordance with the entity’s regulatory policies and procedures, relevant national legislative and regulatory requirements, and international requirements imposed on the entity by law.",1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-9,1-9,Cybersecurity in Human Resources,"To ensure that cybersecurity risks and requirements for personnel (employees and contractors) of the entity are managed efficiently prior to, during, and upon the end or termination of their employment, as per the entity’s regulatory policies and procedures and the relevant legislative and regulatory requirements.",1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
1-10,1-10,Cybersecurity Awareness and Training Program,"To ensure that the entity’s personnel have the required security awareness, are aware of their cybersecurity responsibilities, and are equipped with the required cybersecurity skills, qualifications, and training courses in order to protect the entity’s information and technology assets and fulfill their cybersecurity duties.",1,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-1,2-1,Asset Management,"To ensure that the entity has an accurate and updated inventory of assets, including details of all information and technology assets of the entity, in order to support the entity’s operations and cybersecurity requirements to maintain the confidentiality, integrity, accuracy, and availability of information and technology assets of the entity.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-2,2-2,Identity and Access Management,"To ensure protecting cybersecurity of logical access to information and technology assets of the entity, in order to prevent unauthorized access and restrict access to the extent necessary for accomplishment of the assigned tasks of the entity.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-3,2-3,Information System and Processing Facilities Protection,"To ensure the protection of information systems and processing facilities, including workstations and infrastructures of the entity, against cyber risks.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-4,2-4,Email Protection,To ensure the protection of the entity’s email service against cyber risks.,2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-5,2-5,Networks Security Management,To ensure the protection of entity’s networks against cyber risks.,2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-6,2-6,Mobile Devices Security,"To ensure the protection of the entity’s mobile devices (including laptops, smartphones, and tablets) against cyber risks, and ensure secure handling of the entity’s sensitive information and business information and protecting them during transfer and storage while using the devices of personnel of the entity (Bring Your Own Device ""BYOD” policy).",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-7,2-7,Data and Information Protection,"To ensure confidentiality, integrity, accuracy, and availability of the entity’s data and information, as per the entity’s regulatory policies and procedures and the relevant legislative and regulatory requirements",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-8,2-8,Cryptography,"To ensure the proper and efficient use of cryptography to protect electronic information assets of the entity, as per the entity’s regulatory policies and procedures and the relevant legislative and regulatory requirements.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-9,2-9,Backup and Recovery Management,"To ensure the protection of the entity’s data, information, and technical configurations of systems and applications against cyber risks, as per the entity’s regulatory policies and procedures and the relevant legislative and regulatory requirements.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-10,2-10,Vulnerabilities Management,To ensure timely detection and effective remediation of technical vulnerabilities to prevent or minimize the probability of exploitation of these vulnerabilities by cyber- attacks and to reduce any impacts on the entity’s business.,2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-11,2-11,Penetration Testing,"To assess and test the efficiency of the entity’s cybersecurity defense capabilities through simulation of actual cyber-attack methods and technologies to discover unknown weaknesses that may lead to cyber penetration of the entity, as per the relevant legislative and regulatory requirements.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-12,2-12,Cybersecurity Event Logs and Monitoring Management,"To ensure timely collection, analysis, and monitoring of cybersecurity event logs for proactive detection and effective management of cyber-attacks to prevent or minimize negative impacts on the entity’s business.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-13,2-13,Cybersecurity Incident and Threat Management,"To ensure timely identification, detection, and effective management of cybersecurity incidents and proactive response to cybersecurity threats to prevent or minimize impacts on the entity’s business, as per High Order No. 37140, dated 14/08/1438H.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-14,2-14,Physical Security,"To ensure the protection of information and technology assets of the entity against unauthorized physical access, loss, theft, and damage.",2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
2-15,2-15,Web Application Security,To ensure the protection of external web applications of the entity against cyber risks.,2,"NCA Essential Cybersecurity Controls (ECC-2:2024), KB 2/Saudi Arabia/ECC--2024-EN.pdf"
