source_id,target_id,rel_type,stated_citation,source_document
G-I,SEC-11.1,DISCUSSES,"Part 11 also applies to electronic records submitted to the Agency under the Federal Food, Drug, and Cosmetic Act (the Act) and the Public Health Service Act (the PHS Act), even if such records are not specifically identified in Agency regulations (§ 11.1).","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-I,G-III.C.3,REFERS_TO_SECTION,under the circumstances described in section III.C.3 of this guidance,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.A,SEC-11.10,DISCUSSES,"We intend to enforce all other provisions of part 11 including, but not limited to, certain controls for closed systems in § 11.10.","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.A,SEC-11.30,DISCUSSES,controls for open systems corresponding to controls for closed systems bulleted above (§ 11.30),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.A,SEC-11.50,DISCUSSES,"requirements related to electronic signatures (e.g., §§ 11.50, 11.70, 11.100, 11.200, and 11.300)","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.A,SEC-11.70,DISCUSSES,"requirements related to electronic signatures (e.g., §§ 11.50, 11.70, 11.100, 11.200, and 11.300)","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.A,SEC-11.100,DISCUSSES,"requirements related to electronic signatures (e.g., §§ 11.50, 11.70, 11.100, 11.200, and 11.300)","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.A,SEC-11.200,DISCUSSES,"requirements related to electronic signatures (e.g., §§ 11.50, 11.70, 11.100, 11.200, and 11.300)","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.A,SEC-11.300,DISCUSSES,"requirements related to electronic signatures (e.g., §§ 11.50, 11.70, 11.100, 11.200, and 11.300)","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.B.1,CL-11.2(a),DISCUSSES,"FDA would generally not consider persons to be ""using electronic records in lieu of paper records"" under §§ 11.2(a) and 11.2(b).","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.B.1,CL-11.2(b),DISCUSSES,"FDA would generally not consider persons to be ""using electronic records in lieu of paper records"" under §§ 11.2(a) and 11.2(b).","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.B.2,CL-11.2(a),DISCUSSES,"In some cases, actual business practices may dictate whether you are using electronic records instead of paper records under § 11.2(a).","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.B.2,CL-11.2(b)(2),DISCUSSES,assuming the records have been identified in docket number 92S-0251 as the types of submissions the Agency accepts in electronic format,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.1,CL-11.10(a),DISCUSSES,specific part 11 requirements for validation of computerized systems (§ 11.10(a) and corresponding requirements in § 11.30),"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.1,SEC-11.30,DISCUSSES,§ 11.10(a) and corresponding requirements in § 11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.2,CL-11.10(e),DISCUSSES,"§ 11.10 (e), (k)(2) and any corresponding requirement in §11.30","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.2,CL-11.10(k)(2),DISCUSSES,"§ 11.10 (e), (k)(2) and any corresponding requirement in §11.30","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.2,SEC-11.30,DISCUSSES,"§ 11.10 (e), (k)(2) and any corresponding requirement in §11.30","Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.4,CL-11.10(b),DISCUSSES,§ 11.10 (b) and any corresponding requirement in §11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.4,SEC-11.30,DISCUSSES,§ 11.10 (b) and any corresponding requirement in §11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.5,CL-11.10(c),DISCUSSES,§ 11.10 (c) and any corresponding requirement in §11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
G-III.C.5,SEC-11.30,DISCUSSES,§ 11.10 (c) and any corresponding requirement in §11.30,"Guidance for Industry - Part 11, Electronic Records; Electronic Signatures - Scope and Application (FDA, August 2003); KB 2/USA/Part-11--Electronic-Records--Electronic-Signatures.pdf"
