source_id,target_id,rel_type,source_document
CL-11.1(f),EXTREF-1.326-1.368,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(f),EXTREF-part1-subpartJ,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(g),EXTREF-101.11(d),REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(h),EXTREF-101.8(d),REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(i),EXTREF-part117,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(j),EXTREF-part507,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(k),EXTREF-part112,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(l),EXTREF-part1-subpartL,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(m),EXTREF-part1-subpartM,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(n),EXTREF-part1-subpartO,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(o),EXTREF-part121,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.1(p),EXTREF-part1-subpartR,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.3(a),EXTREF-sec201-act,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
CL-11.2(b)(2),EXTREF-docket-92S-0251,REFERS_TO_EXTERNAL,"21 CFR Part 11 - Electronic Records; Electronic Signatures (eCFR, up to date as of 5/21/2026); KB 2/USA/21 CFR Part 11.pdf"
