odp_id,securityrequirement_id,clause_reference,parameter_text,operation,source_document
odp_001,03.01.01,03.01.01.f.02,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_002,03.01.01,03.01.01.g.01,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_003,03.01.01,03.01.01.g.02,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_004,03.01.01,03.01.01.g.03,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_005,03.01.01,03.01.01.h,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_006,03.01.01,03.01.01.h,[Assignment: organization-defined circumstances],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_007,03.01.05,03.01.05.b,[Assignment: organization-defined security functions],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_008,03.01.05,03.01.05.b,[Assignment: organization-defined security-relevant information],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_009,03.01.05,03.01.05.c,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_010,03.01.06,03.01.06.a,[Assignment: organization-defined personnel or roles],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_011,03.01.08,03.01.08.a,[Assignment: organization-defined number],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_012,03.01.08,03.01.08.a,[Assignment: organization-defined time period],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_013,03.01.08,03.01.08.b,[Selection (one or more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt; notify system administrator; take other action],Selection,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_014,03.01.10,03.01.10.a,[Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended],Selection,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_015,03.01.11,03.01.11,[Assignment: organization-defined conditions or trigger events requiring session disconnect],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_016,03.01.20,03.01.20.b,[Assignment: organization-defined security requirements],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
odp_017,03.02.01,03.02.01.a.01,[Assignment: organization-defined frequency],Assignment,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
