changelogitem_id,sequence,change,source_document
chg_01,1,Streamlined introductory information in Sec. 1 and Sec. 2 to improve clarity and understanding,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_02,2,Modified the security requirements and families in Sec. 3 to reflect the security controls in the SP 800-53B [12] moderate baseline and the tailoring actions in Appendix C,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_03,3,Eliminated the distinction between basic and derived security requirements,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_04,4,"Increased the specificity of security requirements to remove ambiguity, improve the effectiveness of implementation, and clarify the scope of assessments","NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_05,5,Introduced organization-defined parameters (ODPs) in selected security requirements to increase flexibility and help organizations better manage risk,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_06,6,"Grouped security requirements, where possible, to improve understanding and the efficiency of implementations and assessments","NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_07,7,Removed outdated and redundant security requirements,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_08,8,Added new security requirements,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_09,9,Added titles to the security requirements,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_10,10,Restructured and streamlined the security requirement discussion sections,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_11,11,Added new tailoring categories: Other Related Controls (ORC) and Not Applicable (N/A),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_12,12,Recategorized selected controls in the SP 800-53B moderate baseline using the tailoring criteria in Appendix C,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_13,13,Revised the security requirements for consistency with the security control language in SP 800-53,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_14,14,"Revised the structure of the References, Acronyms, and Glossary sections for greater clarity and ease of use","NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_15,15,Revised the tailoring tables in Appendix C to be consistent with the changes to the security requirements,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
chg_16,16,Added new appendix listing organization-defined parameters for security requirements,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
