tailoringdecision_id,table,control_identifier,control_name,tailoring_criteria,security_requirement,source_document
td_0300,Table 20. System and Communications Protection (SC),SC-07(08),Boundary Protection | Route Traffic to Authenticated Proxy Servers,ORC,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0301,Table 20. System and Communications Protection (SC),SC-08,Transmission Confidentiality and Integrity,CUI,03.13.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0302,Table 20. System and Communications Protection (SC),SC-08(01),Transmission Confidentiality and Integrity | Cryptographic Protection,CUI,03.13.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0303,Table 20. System and Communications Protection (SC),SC-10,Network Disconnect,CUI,03.13.09,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0304,Table 20. System and Communications Protection (SC),SC-12,Cryptographic Key Establishment and Management,CUI,03.13.10,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0305,Table 20. System and Communications Protection (SC),SC-13,Cryptographic Protection,CUI,03.13.11,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0306,Table 20. System and Communications Protection (SC),SC-15,Collaborative Computing Devices and Applications,CUI,03.13.12,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0307,Table 20. System and Communications Protection (SC),SC-17,Public Key Infrastructure Certificates,FED,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0308,Table 20. System and Communications Protection (SC),SC-18,Mobile Code,CUI,03.13.13,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0309,Table 20. System and Communications Protection (SC),SC-20,Secure Name/Address Resolution Service (Authoritative Source),NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0310,Table 20. System and Communications Protection (SC),SC-21,Secure Name/Address Resolution Service (Recursive or Caching Resolver),NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0311,Table 20. System and Communications Protection (SC),SC-22,Architecture and Provisioning for Name/Address Resolution Service,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0312,Table 20. System and Communications Protection (SC),SC-23,Session Authenticity,CUI,03.13.15,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0313,Table 20. System and Communications Protection (SC),SC-28,Protection of Information at Rest,CUI,03.13.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0314,Table 20. System and Communications Protection (SC),SC-28(01),Protection of Information at Rest | Cryptographic Protection,CUI,03.13.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0315,Table 20. System and Communications Protection (SC),SC-39,Process Isolation,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0316,Table 21. System and Information Integrity (SI),SI-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0317,Table 21. System and Information Integrity (SI),SI-02,Flaw Remediation,CUI,03.14.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0318,Table 21. System and Information Integrity (SI),SI-02(02),Flaw Remediation | Automated Flaw Remediation Status,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0319,Table 21. System and Information Integrity (SI),SI-03,Malicious Code Protection,CUI,03.14.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0320,Table 21. System and Information Integrity (SI),SI-04,System Monitoring,CUI,03.14.06,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0321,Table 21. System and Information Integrity (SI),SI-04(02),System Monitoring | Automated Tools and Mechanisms for Real- Time Analysis,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0322,Table 21. System and Information Integrity (SI),SI-04(04),System Monitoring | Inbound and Outbound Communications Traffic,CUI,03.14.06,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0323,Table 21. System and Information Integrity (SI),SI-04(05),System Monitoring | System-Generated Alerts,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0324,Table 21. System and Information Integrity (SI),SI-05,"Security Alerts, Advisories, and Directives",CUI,03.14.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0325,Table 21. System and Information Integrity (SI),SI-07,"Software, Firmware, and Information Integrity",NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0326,Table 21. System and Information Integrity (SI),SI-07(01),"Software, Firmware, and Information Integrity | Integrity Checks",NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0327,Table 21. System and Information Integrity (SI),SI-07(07),"Software, Firmware, and Information Integrity | Integration of Detection and Response",NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0328,Table 21. System and Information Integrity (SI),SI-08,Spam Protection,ORC,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0329,Table 21. System and Information Integrity (SI),SI-08(02),Spam Protection | Automatic Updates,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0330,Table 21. System and Information Integrity (SI),SI-10,Information Input Validation,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0331,Table 21. System and Information Integrity (SI),SI-11,Error Handling,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0332,Table 21. System and Information Integrity (SI),SI-12,Information Management and Retention,CUI,03.14.08,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0333,Table 21. System and Information Integrity (SI),SI-16,Memory Protection,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0334,Table 22. Supply Chain Risk Management (SR),SR-01,Policy and Procedures,CUI,03.15.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0335,Table 22. Supply Chain Risk Management (SR),SR-02,Supply Chain Risk Management Plan,CUI,03.17.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0336,Table 22. Supply Chain Risk Management (SR),SR-02(01),Supply Chain Risk Management Plan | Establish SCRM Team,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0337,Table 22. Supply Chain Risk Management (SR),SR-03,Supply Chain Controls and Processes,CUI,03.17.03,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0338,Table 22. Supply Chain Risk Management (SR),SR-05,"Acquisition Strategies, Tools, and Methods",CUI,03.17.02,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0339,Table 22. Supply Chain Risk Management (SR),SR-06,Supplier Assessments and Reviews,CUI,03.11.01,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0340,Table 22. Supply Chain Risk Management (SR),SR-08,Notification Agreements,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0341,Table 22. Supply Chain Risk Management (SR),SR-10,Inspection of Systems or Components,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0342,Table 22. Supply Chain Risk Management (SR),SR-11,Component Authenticity,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0343,Table 22. Supply Chain Risk Management (SR),SR-11(01),Component Authenticity | Anti-Counterfeit Training,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0344,Table 22. Supply Chain Risk Management (SR),SR-11(02),Component Authenticity | Configuration Control for Component Service and Repair,NCO,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
td_0345,Table 22. Supply Chain Risk Management (SR),SR-12,Component Disposal,ORC,,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
