clause_id,securityrequirement_id,parent_id,label,level,text,contains_odp,source_document
03.01.07.b,03.01.07,03.01.07,b.,1,Log the execution of privileged functions.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.08.a,03.01.08,03.01.08,a.,1,Enforce a limit of [Assignment: organization-defined number] consecutive invalid logon attempts by a user during a [Assignment: organization-defined time period].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.08.b,03.01.08,03.01.08,b.,1,Automatically [Selection (one or more): lock the account or node for an [Assignment: organization-defined time period]; lock the account or node until released by an administrator; delay next logon prompt; notify system administrator; take other action] when the maximum number of unsuccessful attempts is exceeded.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.10.a,03.01.10,03.01.10,a.,1,Prevent access to the system by [Selection (one or more): initiating a device lock after [Assignment: organization-defined time period] of inactivity; requiring the user to initiate a device lock before leaving the system unattended].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.10.b,03.01.10,03.01.10,b.,1,Retain the device lock until the user reestablishes access using established identification and authentication procedures.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.10.c,03.01.10,03.01.10,c.,1,"Conceal, via the device lock, information previously visible on the display with a publicly viewable image.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.12.a,03.01.12,03.01.12,a.,1,"Establish usage restrictions, configuration requirements, and connection requirements for each type of allowable remote system access.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.12.b,03.01.12,03.01.12,b.,1,Authorize each type of remote system access prior to establishing such connections.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.12.c,03.01.12,03.01.12,c.,1,Route remote access to the system through authorized and managed access control points.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.12.d,03.01.12,03.01.12,d.,1,Authorize the remote execution of privileged commands and remote access to security-relevant information.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.16.a,03.01.16,03.01.16,a.,1,"Establish usage restrictions, configuration requirements, and connection requirements for each type of wireless access to the system.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.16.b,03.01.16,03.01.16,b.,1,Authorize each type of wireless access to the system prior to establishing such connections.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.16.c,03.01.16,03.01.16,c.,1,"Disable, when not intended for use, wireless networking capabilities prior to issuance and deployment.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.16.d,03.01.16,03.01.16,d.,1,Protect wireless access to the system using authentication and encryption.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.18.a,03.01.18,03.01.18,a.,1,"Establish usage restrictions, configuration requirements, and connection requirements for mobile devices.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
