clause_id,securityrequirement_id,parent_id,label,level,text,contains_odp,source_document
03.01.01.f.02,03.01.01,03.01.01.f,2.,2,"The accounts have been inactive for [Assignment: organization-defined time period],",yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.01.f.03,03.01.01,03.01.01.f,3.,2,"The accounts are no longer associated with a user or individual,",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.01.f.04,03.01.01,03.01.01.f,4.,2,"The accounts are in violation of organizational policy, or",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.01.f.05,03.01.01,03.01.01.f,5.,2,Significant risks associated with individuals are discovered.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.01.g,03.01.01,03.01.01,g.,1,Notify account managers and designated personnel or roles within:,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.01.g.01,03.01.01,03.01.01.g,1.,2,[Assignment: organization-defined time period] when accounts are no longer required.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.01.g.02,03.01.01,03.01.01.g,2.,2,[Assignment: organization-defined time period] when users are terminated or transferred.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.01.g.03,03.01.01,03.01.01.g,3.,2,[Assignment: organization-defined time period] when system usage or the need-to-know changes for an individual.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.01.h,03.01.01,03.01.01,h.,1,Require that users log out of the system after [Assignment: organization-defined time period] of expected inactivity or when [Assignment: organization-defined circumstances].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.04.a,03.01.04,03.01.04,a.,1,Identify the duties of individuals requiring separation.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.04.b,03.01.04,03.01.04,b.,1,Define system access authorizations to support separation of duties.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.05.a,03.01.05,03.01.05,a.,1,Allow only authorized system access for users (or processes acting on behalf of users) that is necessary to accomplish assigned organizational tasks.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.05.b,03.01.05,03.01.05,b.,1,Authorize access to [Assignment: organization-defined security functions] and [Assignment: organization-defined security-relevant information].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.05.c,03.01.05,03.01.05,c.,1,Review the privileges assigned to roles or classes of users [Assignment: organization-defined frequency] to validate the need for such privileges.,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.05.d,03.01.05,03.01.05,d.,1,"Reassign or remove privileges, as necessary.",no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.06.a,03.01.06,03.01.06,a.,1,Restrict privileged accounts on the system to [Assignment: organization-defined personnel or roles].,yes,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.06.b,03.01.06,03.01.06,b.,1,Require that users (or roles) with privileged accounts use non-privileged accounts when accessing non-security functions or non-security information.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
03.01.07.a,03.01.07,03.01.07,a.,1,Prevent non-privileged users from executing privileged functions.,no,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
