appendix_id,letter,title,introduction,source_document
app_A,A,Acronyms,CFR Code of Federal Regulations,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
app_B,B,Glossary,Appendix B provides definitions for the terminology used in SP 800-171r3. The definitions are consistent with the definitions contained in the National Information Assurance Glossary [78] unless otherwise noted.,"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
app_C,C,Tailoring Criteria,"This appendix describes the security control tailoring criteria used to develop the CUI security requirements. Table 2 lists the available tailoring options and the shorthand tailoring symbols. Table 3 through Table 22 specify the tailoring actions applied to the controls in the SP 800-53 moderate baseline [12] to obtain the security requirements in Sec. 3. The controls and control enhancements are hyperlinked to the NIST Cybersecurity and Privacy Reference Tool, which provides online access to the specific control language and supplemental materials in SP 800- 53.","NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
app_D,D,Organization-Defined Parameters,"This appendix lists the organization-defined parameters (ODPs) that are included in the security requirements in Sec. 3. The ODPs are listed sequentially by requirement family, beginning with the first requirement containing an ODP in the Access Control (AC) family and ending with the last requirement containing an ODP in the Supply Chain Risk Management (SR) family.","NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
app_E,E,Change Log,"This publication incorporates the following changes from the original edition (February 2020; updated January 28, 2021): • Streamlined introductory information in Sec. 1 and Sec. 2 to improve clarity and understanding • Modified the security requirements and families in Sec. 3 to reflect the security controls in the SP 800-53B [12] moderate baseline and the tailoring actions in Appendix C • Eliminated the distinction between basic and derived security requirements • Increased the specificity of security requirements to remove ambiguity, improve the effectiveness of implementation, and clarify the scope of assessments • Introduced organization-defined parameters (ODPs) in selected security requirements to increase flexibility and help organizations better manage risk • Grouped security requirements, where possible, to improve understanding and the efficiency of implementations and assessments • Removed outdated and redundant security requirements • Added new security requirements • Added titles to the security requirements • Restructured and streamlined the security requirement discussion sections • Added new tailoring categories: Other Related Controls (ORC) and Not Applicable (N/A) • Recategorized selected controls in the SP 800-53B moderate baseline using the tailoring criteria in Appendix C • Revised the security requirements for consistency with the security control language in SP 800-53 • Revised the structure of the References, Acronyms, and Glossary sections for greater clarity and ease of use • Revised the tailoring tables in Appendix C to be consistent with the changes to the security requirements • Added new appendix listing organization-defined parameters for security requirements","NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
