sanction_id,sanction_type,article_id,penalty_text,minimum,maximum,source_document
sanction_admin_31_1,administrative,art_31,"1. Without prejudice to administrative liabilities applicable in the case of people in charge, or users, of public databases, the liability for damages derived from non-compliance with this Act, and applicable criminal sanctions, the competent authority may apply warning sanctions, suspension, and a one thousand pesos ($1,000) to one hundred thousand pesos ($100,000.) penalty, or instruct the closure or elimination of the file, record or database.","1,000 pesos","100,000 pesos",KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sanction_crim_117bis_1,criminal (Criminal Code Article 117 bis),art_32,1st. Any person knowingly introducing or having introduced any false data in a personal data record shall be liable to a one-month to two-year imprisonment.,one-month imprisonment,two-year imprisonment,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sanction_crim_117bis_2,criminal (Criminal Code Article 117 bis),art_32,2nd. The sentence shall be a six-month to three-year imprisonment in the case of any person knowingly furnishing to a third party false information contained in a given personal data record.,six-month imprisonment,three-year imprisonment,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sanction_crim_117bis_3,criminal (Criminal Code Article 117 bis),art_32,3rd. The criminal scale shall be increased to half the minimum sentence and half the maximum sentence if any person sustains any damage by reason of such event.,,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sanction_crim_117bis_4,criminal (Criminal Code Article 117 bis),art_32,"4th. When the author or person in charge of the crime is an incumbent public officer, the following accessory sentence shall apply: disqualification to serve as public officer for twice the time of the sentence.”",,disqualification to serve as public officer for twice the time of the sentence,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sanction_crim_157bis_1,criminal (Criminal Code Article 157 bis),art_32,"1st. Knowingly or unlawfully, or in violation of confidentiality and data security systems, has access, in any way, to a personal database;",One-month imprisonment,two-year imprisonment,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
sanction_crim_157bis_2,criminal (Criminal Code Article 157 bis),art_32,"2nd. Reveals to a third party information recorded in a personal database whose secrecy should be preserved as provided by law. In the event that the author is a public officer, an additional sentence of one to four years special disqualification shall apply.”",One-month imprisonment,two-year imprisonment,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
