chapter_id,number,title,source_document
chap_I,I,General Provisions,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
chap_II,II,General principles related to data protection,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
chap_III,III,Rights of Data Owners,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
chap_IV,IV,"Persons in charge of files, records, and databases and users thereof",KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
chap_V,V,Oversight,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
chap_VI,VI,Sanctions,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
chap_VII,VII,Action for personal data protection,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
