decree_article_id,decree_id,number,text,source_document
decart_1,decree_995_2000,1,"Article 1: Article 29, subArticles 2 and 3 of the Bill registered under the Number 25326 be observed",KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
decart_2,decree_995_2000,2,Article 2: Article 47 of Bill registered under the Number 25326 be observed.,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
decart_3,decree_995_2000,3,"Article 3: With the exceptions set forth in the precedent Articles, Bill registered under the Number 25326 be complied with and enacted as National Act.",KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
decart_4,decree_995_2000,4,Article 4: The NATIONAL CONGRESS be notified.,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
decart_5,decree_995_2000,5,Article 5: The National Official of Official Registry be notified. This Bill be published and filed.,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
