clause_id,article_id,label,text,deadline_or_term,source_document
cl_31_2,art_31,2,"2. Rules and regulations shall determine the conditions and proceedings for enforcement of the applicable sanctions, which shall be determined in relation to the seriousness and time of the violation involved, and of the damages derived from such violation, by ensuring the due process of law.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_32_1,art_32,1,1. The following Article shall be included as Article 117 bis of the Criminal Code:,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_32_2,art_32,2,2. The following Article shall be included as Article 157 bis of the Criminal Code: “One-month to two-year imprisonment shall apply to any person who:,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_33_1,art_33,1,1. The action for personal data protection or hábeas data shall apply:,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_34_first_paragraph,art_34,first paragraph,"The action for personal data protection or habeas data may be exercised by the party involved, his/her guardians and successors or assigns of individuals, whether direct or indirect heirs up to the second degree of congeniality, per se or by an attorney.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_34_second_paragraph,art_34,second paragraph,"When the action is exercised by corporations, such action shall be inchoated by their legal representatives or attorneys appointed to such effect.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_34_third_paragraph,art_34,third paragraph,The Ombudsman may intervene in the proceedings for legal assistance purposes.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_35_single_paragraph,art_35,single paragraph,"The action shall proceed against people in charge, and users, of public databases, and of private databases intended for reporting.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_36_first_paragraph,art_36,first paragraph,"The judge with jurisdiction in the domicile of the author, or the domicile of the defendant, or the place where the event or act took place or where the event or act could have effects, at the author’s election, shall have venue over these matters.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_36_second_paragraph,art_36,second paragraph,Federal courts shall have venue over these matters:,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_37_single_paragraph,art_37,single paragraph,"The habeas data action shall be conducted in accordance with the provisions hereof and under the proceedings corresponding to the common summary proceeding to guarantee constitutional rights (acción de amparo) and, as a supplement, under the rules set forth in the Code of Civil and Commercial Proceedings, governing extraordinary summary proceeding (juicio sumarísimo).",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_38_1,art_38,1,"1. The complaint shall be filed in writing, detailing as precisely as possible the file, record or database name and domicile and, if applicable, the name of the person in charge or user thereof.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_38_1_second_paragraph,art_38,1 second paragraph,"In the case of public files, records or databases, the federal agency responsible for them shall be determined.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_38_2,art_38,2,"2. The complainant may allege reasons for which he/she understands that the identified file, record or database includes information related to him/herself, the reasons why he/she considers that the information related to him/herself is discriminatory, false or inaccurate, and he/she may also furnish evidence of compliance with requirements applicable to exercise of rights granted thereto by this Act.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_38_3,art_38,3,"3. The party involved may request that, while proceedings are pending, a notice be included in the record or database to the effects that the challenged information is subject to judicial proceedings.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_38_4,art_38,4,"4. The Court may instruct the provisional file blocking as it refers to the personal datum from which the trial arose, provided that the discriminatory, false or inaccurate nature of the relevant information is patent.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_38_5,art_38,5,"5. In order to require information from the file, record or database involved, the Court shall apply a broad criterion to the relevant circumstances of subArticles 1 and 2.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_39_i,art_39,i,"i. Upon admission of the action, the Court shall require from the file, record or database to send information related to the complainant. Likewise, the Court may request reports about data technical support, basic documents relating to data collection and any other aspect conducive to a case solution, as it may deem convenient.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_39_ii,art_39,ii,"ii. There shall be a maximum of five business days available to answer the report, which term may be prudently extended by the Court.",five business days,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_40_i,art_40,i,"i. Private records, files or databases shall not allege confidentiality of information required therefrom, save where journalistic information sources are affected.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_40_ii,art_40,ii,"ii. When a public file, record or database denies to send the requested report raising defenses of right of access, editing or deletion authorized by this Act or by a specific Act, such file, record or database shall furnish evidence of the facts that make such defense applicable. In such events, the Court may personally and directly get in contact with the requested data, thus assuring confidentiality thereupon.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_41_single_paragraph,art_41,single paragraph,"When answering the report, the file, record or database shall state the reasons why it included such challenged information and why it did not meet the request made by the interested party, in accordance with Articles 13 to 15 hereof.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_42_single_paragraph,art_42,single paragraph,"Upon answer to the report, the complainant may, within a three-day period amend the complaint requesting deletion, editing, confidentiality or updating of his/her personal data, if applicable hereunder, furnishing evidence thereof in the same act. Notice of this amended complaint shall be served upon the defendant within a three-day term.",three-day period,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_43_a,art_43,a,"a) Upon maturity of the term to answer the report or upon filing of an answer thereto, and in the event provided for in Article 42, after answer to the amended complaint has been filed, and after the evidence been furnished thereon, the Court shall render judgment.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_43_b,art_43,b,"b) In case the action is deemed to proceed, the Court shall specify whether the information shall be deleted, edited, updated or declared confidential, establishing a term for compliance thereof.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_43_c,art_43,c,"c) If the action is rejected, the defendant shall not be presumed liable.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_43_d,art_43,d,"d) In any event, judgment shall be notified to the oversight authority, which shall keep a record to such effect.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_44_first_paragraph,art_44,first paragraph,"The rules hereof contained in Chapters I, II, III, and IV, and in Article 32 are public and apply in the entire national territory.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_44_second_paragraph,art_44,second paragraph,Provinces are invited to endorse to regulations of this Act that may exclusively apply to the federal jurisdiction.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_44_third_paragraph,art_44,third paragraph,"The federal jurisdiction shall govern with regard to records, files, or databases interconnected by interjurisdictional, national or international, networks.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_45_single_paragraph,art_45,single paragraph,The Executive shall pass the regulations governing this Act and shall create a competent authority within a one hundred and eighty day term following enactment hereof.,one hundred and eighty day term,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_46_single_paragraph,art_46,single paragraph,"Files, records or databases intended to furnish information, existing at the time of the enactment of this Act, shall be registered in the registry created in accordance with Article 21, and shall be adapted to the provisions hereof within the term set forth by pertinent regulations.",,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_47_single_paragraph,art_47,single paragraph,Article 47. — (vetoed),,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
cl_48_single_paragraph,art_48,single paragraph,Be notified to the Executive.,,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
