definition_id,term,definition,defined_in_article,source_document
def_1,Personal data,Information of any kind referring to defined or definable individuals or corporations.,art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
def_2,Private data,"Personal data revealing racial and ethnic origin, political views, religious, philosophic, or moral beliefs, union membership, and information referring to health or sexual life of individuals.",art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
def_3,"File, record, databank or database","Indistinctly, they designate the organized group of personal data subject to processing, whether electronic or other means, whichever way they have been created, stored, organized or accessed by.",art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
def_4,Data processing,"Systematic operations and procedures, whether electronic or otherwise, enabling collection, integrity, sorting, storage, change, relation, assessment, blocking, destruction and, in general, personal data processing, as well as sending of such data to third parties through communications, inquiries, interconnection or transfers.",art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
def_5,"Person in charge of file, record, databank or database","Public or private individual or corporation, holder of a file, record, databank or database.",art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
def_6,Computer data,Personal data subject to electronic or automated processing or handling.,art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
def_7,Data owner,"Any individual or corporation domiciled in the country, or having offices or branches in the country, whose data are subject to this Act.",art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
def_8,Data user,"Any person --public or private-- carrying out, at its sole discretion, data processing, whether contained in files, records, or databases of its own, or through connection therewith.",art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
def_9,Data disaggregation,"Any handling of personal data in such a way that information obtained cannot be associated to a person, determined or that may be determined.",art_2,KB 2/South America/Argentina Personal Data Protection Act 2000.pdf
