source_id,target_id,rel_type,note
chap_I,art_1,HAS_ARTICLE,
chap_I,art_2,HAS_ARTICLE,
chap_II,art_3,HAS_ARTICLE,
chap_II,art_4,HAS_ARTICLE,
chap_II,art_5,HAS_ARTICLE,
chap_II,art_6,HAS_ARTICLE,
chap_II,art_7,HAS_ARTICLE,
chap_II,art_8,HAS_ARTICLE,
chap_II,art_9,HAS_ARTICLE,
chap_II,art_10,HAS_ARTICLE,
chap_II,art_11,HAS_ARTICLE,
chap_II,art_12,HAS_ARTICLE,
chap_III,art_13,HAS_ARTICLE,
chap_III,art_14,HAS_ARTICLE,
chap_III,art_15,HAS_ARTICLE,
chap_III,art_16,HAS_ARTICLE,
chap_III,art_17,HAS_ARTICLE,
chap_III,art_18,HAS_ARTICLE,
chap_III,art_19,HAS_ARTICLE,
chap_III,art_20,HAS_ARTICLE,
chap_IV,art_21,HAS_ARTICLE,
chap_IV,art_22,HAS_ARTICLE,
chap_IV,art_23,HAS_ARTICLE,
chap_IV,art_24,HAS_ARTICLE,
chap_IV,art_25,HAS_ARTICLE,
chap_IV,art_26,HAS_ARTICLE,
chap_IV,art_27,HAS_ARTICLE,
chap_IV,art_28,HAS_ARTICLE,
chap_V,art_29,HAS_ARTICLE,
chap_V,art_30,HAS_ARTICLE,
chap_VI,art_31,HAS_ARTICLE,
chap_VI,art_32,HAS_ARTICLE,
chap_VII,art_33,HAS_ARTICLE,
chap_VII,art_34,HAS_ARTICLE,
chap_VII,art_35,HAS_ARTICLE,
chap_VII,art_36,HAS_ARTICLE,
chap_VII,art_37,HAS_ARTICLE,
chap_VII,art_38,HAS_ARTICLE,
chap_VII,art_39,HAS_ARTICLE,
chap_VII,art_40,HAS_ARTICLE,
chap_VII,art_41,HAS_ARTICLE,
chap_VII,art_42,HAS_ARTICLE,
chap_VII,art_43,HAS_ARTICLE,
instrument_ley_25326,art_44,HAS_ARTICLE,"final provision, outside any Chapter"
instrument_ley_25326,art_45,HAS_ARTICLE,"final provision, outside any Chapter"
instrument_ley_25326,art_46,HAS_ARTICLE,"final provision, outside any Chapter"
instrument_ley_25326,art_47,HAS_ARTICLE,"final provision, outside any Chapter"
instrument_ley_25326,art_48,HAS_ARTICLE,"final provision, outside any Chapter"
