name,version,publication_date,retirement_date,effective_date,mandatory_date_future,revision_type
PCI-DSS,4.0.1,2024-06-01,2028-03-31,2025-01-01,2025-03-31,Limited Revision
PCI-DSS,4.0,2022-03-01,2024-12-31,2024-03-31,2025-03-31,Major Version
PCI-DSS,3.2.1,2018-05-01,2024-03-31,2018-05-01,2024-03-31,Previous Version
