sub_req_id,control_node_id
SR-8.3.6,ctrl_005
SR-8.3.7,ctrl_005
SR-3.2.1,ctrl_014
SR-12.5.2,ctrl_012
SR-1.2.4,ctrl_004
SR-3.5.1,ctrl_003
SR-5.3.2.1,ctrl_007
SR-5.4.1,ctrl_009
SR-6.3.2,ctrl_012
SR-6.4.3,ctrl_010
SR-8.6.2,ctrl_005
SR-11.6.1,ctrl_009
SR-12.10.7,ctrl_013
