merchant_level_id,assessment_instrument_id
ML-1,AI-ROC
ML-2,AI-ROC
ML-2,AI-SAQ-D
ML-3,AI-SAQ-A
ML-3,AI-SAQ-D
ML-4,AI-SAQ-A
ML-4,AI-SAQ-D
