source_req_id,target_subreq_id
1,1.1.2
1,1.2.1
1,1.1.2.b
1,1.2.1.a
1,1.2.1.b
3,3.2.1
3,3.1.1
6,6.1.1
6,6.2.1
8,8.1.1
8,8.3.1
8,8.2.1
10,10.1.1
11,11.1.1
12,12.1.1
