source_id,target_id,rel_type,citation
art_8,art_7,REFERENCES,art. 7º desta Lei
art_26,art_6,REFERENCES,art. 6º desta Lei
art_34,art_33,REFERENCES,art. 33 desta Lei
art_35,art_33,REFERENCES,art. 33 desta Lei
art_36,art_33,REFERENCES,art. 33 desta Lei
art_3_par_2,art_4,REFERENCES,art. 4º desta Lei
art_4_inc_II_ali_b,art_7,REFERENCES,arts. 7º e 11 desta Lei
art_4_inc_II_ali_b,art_11,REFERENCES,arts. 7º e 11 desta Lei
art_8_par_5,art_18,REFERENCES,art. 18 desta Lei
art_8_par_6,art_9,REFERENCES,art. 9º desta Lei
art_9_inc_VII,art_18,REFERENCES,art. 18 desta Lei
art_9_par_3,art_18,REFERENCES,art. 18 desta Lei
art_11_inc_II_ali_g,art_9,REFERENCES,art. 9º desta Lei
art_11_par_2,art_23,REFERENCES,art. 23 desta Lei
art_14_par_2,art_18,REFERENCES,art. 18 desta Lei
art_15_inc_III,art_8,REFERENCES,art. 8º desta Lei
art_18_inc_VI,art_16,REFERENCES,art. 16 desta Lei
art_18_inc_IX,art_8,REFERENCES,art. 8º desta Lei
art_23_inc_III,art_39,REFERENCES,art. 39 desta Lei
art_27_inc_II,art_23,REFERENCES,art. 23 desta Lei
art_27_inc_III,art_26,REFERENCES,art. 26 desta Lei
art_33_inc_VII,art_23,REFERENCES,art. 23 desta Lei
art_33_inc_IX,art_7,REFERENCES,art. 7º desta Lei
art_35_par_5,art_46,REFERENCES,art. 46 desta Lei
art_42_par_1_inc_I,art_43,REFERENCES,art. 43 desta Lei
art_42_par_1_inc_II,art_43,REFERENCES,art. 43 desta Lei
art_44_pu,art_46,REFERENCES,art. 46 desta Lei
art_46_par_1,art_6,REFERENCES,art. 6º desta Lei
art_50_par_2,art_6,REFERENCES,art. 6º desta Lei
art_52_par_1_inc_VIII,art_48,REFERENCES,art. 48 desta Lei
art_52_par_7,art_46,REFERENCES,art. 46 desta Lei
art_55-J_inc_II,art_2,REFERENCES,art. 2º desta Lei
