capitulo_id,numero,titulo,title_en,nota_alteracao,source_document
cap_I,CAPÍTULO I,DISPOSIÇÕES PRELIMINARES,PRELIMINARY PROVISIONS,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_II,CAPÍTULO II,DO TRATAMENTO DE DADOS PESSOAIS,PROCESSING OF PERSONAL DATA,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_III,CAPÍTULO III,DOS DIREITOS DO TITULAR,DATA SUBJECT’S RIGHTS,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_IV,CAPÍTULO IV,DO TRATAMENTO DE DADOS PESSOAIS PELO PODER PÚBLICO,PROCESSING OF PERSONAL DATA BY GOVERNMENT AUTHORITIES,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_V,CAPÍTULO V,DA TRANSFERÊNCIA INTERNACIONAL DE DADOS,INTERNATIONAL DATA TRANSFER,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_VI,CAPÍTULO VI,DOS AGENTES DE TRATAMENTO DE DADOS PESSOAIS,PERSONAL DATA PROCESSING AGENTS,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_VII,CAPÍTULO VII,DA SEGURANÇA E DAS BOAS PRÁTICAS,SECURITY AND GOOD PRACTICES,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_VIII,CAPÍTULO VIII,DA FISCALIZAÇÃO,ENFORCEMENT,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_IX,CAPÍTULO IX,DA AGÊNCIA NACIONAL DE PROTEÇÃO DE DADOS E DO CONSELHO NACIONAL DE PROTEÇÃO DE DADOS PESSOAIS E DA PRIVACIDADE,THE NATIONAL DATA PROTECTION AUTHORITY (ANPD) AND THE NATIONAL COUNCIL FOR PERSONAL DATA AND PRIVACY PROTECTION,"(Capítulo com redação dada pela Medida Provisória nº 1.317, de 17/9/2025, convertida na Lei nº 15.352, de 25/2/2026)",lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
cap_X,CAPÍTULO X,DISPOSIÇÕES FINAIS E TRANSITÓRIAS,FINAL AND TRANSITIONAL PROVISIONS,,lei-13709-14-agosto-2018-787077-normaatualizada-pl.pdf
