domain_identifier,control_id
AAT,AAT-01
AAT,AAT-01.1
AAT,AAT-01.2
AAT,AAT-01.3
AAT,AAT-02
AAT,AAT-02.1
AAT,AAT-02.2
AAT,AAT-02.3
AAT,AAT-03
AAT,AAT-03.1
AAT,AAT-04
AAT,AAT-04.1
AAT,AAT-04.2
AAT,AAT-04.3
AAT,AAT-04.4
AAT,AAT-05
AAT,AAT-06
AAT,AAT-07
AAT,AAT-07.1
AAT,AAT-07.2
AAT,AAT-07.3
AAT,AAT-08
AAT,AAT-09
AAT,AAT-09.1
AAT,AAT-10
AAT,AAT-10.1
AAT,AAT-10.10
AAT,AAT-10.11
AAT,AAT-10.12
AAT,AAT-10.13
AAT,AAT-10.14
AAT,AAT-10.15
AAT,AAT-10.16
AAT,AAT-10.17
AAT,AAT-10.18
AAT,AAT-10.2
AAT,AAT-10.3
AAT,AAT-10.4
AAT,AAT-10.5
AAT,AAT-10.6
AAT,AAT-10.7
AAT,AAT-10.8
AAT,AAT-10.9
AAT,AAT-11
AAT,AAT-11.1
AAT,AAT-11.2
AAT,AAT-11.3
AAT,AAT-11.4
AAT,AAT-12
AAT,AAT-12.1
AAT,AAT-12.2
AAT,AAT-12.3
AAT,AAT-12.4
AAT,AAT-13
AAT,AAT-13.1
AAT,AAT-14
AAT,AAT-14.1
AAT,AAT-14.2
AAT,AAT-15
AAT,AAT-15.1
AAT,AAT-15.2
AAT,AAT-16
AAT,AAT-16.1
AAT,AAT-16.10
AAT,AAT-16.2
AAT,AAT-16.3
AAT,AAT-16.4
AAT,AAT-16.5
AAT,AAT-16.6
AAT,AAT-16.7
AAT,AAT-16.8
AAT,AAT-16.9
AAT,AAT-17
AAT,AAT-17.1
AAT,AAT-17.2
AAT,AAT-17.3
AAT,AAT-17.4
AAT,AAT-17.5
AAT,AAT-18
AAT,AAT-18.1
AAT,AAT-19
AAT,AAT-19.1
AAT,AAT-19.2
AAT,AAT-19.3
AAT,AAT-19.4
AAT,AAT-19.5
AAT,AAT-19.6
AAT,AAT-19.7
AAT,AAT-19.8
AAT,AAT-20
AAT,AAT-20.1
AAT,AAT-20.2
AAT,AAT-20.3
AAT,AAT-21
AAT,AAT-22
AAT,AAT-22.1
AAT,AAT-22.2
AAT,AAT-22.3
AAT,AAT-22.4
AAT,AAT-22.5
AAT,AAT-22.6
AAT,AAT-22.7
AAT,AAT-22.8
AAT,AAT-23
AAT,AAT-24
AAT,AAT-25
AAT,AAT-25.1
AAT,AAT-26
AAT,AAT-26.1
AAT,AAT-26.2
AAT,AAT-26.3
AAT,AAT-26.4
AAT,AAT-27
AAT,AAT-27.1
AST,AST-01
AST,AST-01.1
AST,AST-01.2
AST,AST-01.3
AST,AST-01.4
AST,AST-02
AST,AST-02.1
AST,AST-02.10
AST,AST-02.11
AST,AST-02.2
AST,AST-02.3
AST,AST-02.4
AST,AST-02.5
AST,AST-02.6
AST,AST-02.7
AST,AST-02.8
AST,AST-02.9
AST,AST-03
AST,AST-03.1
AST,AST-03.2
AST,AST-04
AST,AST-04.1
AST,AST-04.2
AST,AST-04.3
AST,AST-05
AST,AST-05.1
AST,AST-06
AST,AST-06.1
AST,AST-07
AST,AST-08
AST,AST-09
AST,AST-10
AST,AST-11
AST,AST-12
AST,AST-13
AST,AST-14
AST,AST-14.1
AST,AST-14.2
AST,AST-15
AST,AST-15.1
AST,AST-16
AST,AST-17
AST,AST-18
AST,AST-19
AST,AST-20
AST,AST-21
AST,AST-22
AST,AST-23
AST,AST-24
AST,AST-25
AST,AST-26
AST,AST-27
AST,AST-28
AST,AST-28.1
AST,AST-29
AST,AST-29.1
AST,AST-30
AST,AST-31
AST,AST-31.1
AST,AST-31.2
BCD,BCD-01
BCD,BCD-01.1
BCD,BCD-01.2
BCD,BCD-01.3
BCD,BCD-01.4
BCD,BCD-01.5
BCD,BCD-01.6
BCD,BCD-02
BCD,BCD-02.1
BCD,BCD-02.2
BCD,BCD-02.3
BCD,BCD-02.4
BCD,BCD-03
BCD,BCD-03.1
BCD,BCD-03.2
BCD,BCD-04
BCD,BCD-04.1
BCD,BCD-04.2
BCD,BCD-05
BCD,BCD-06
BCD,BCD-06.1
BCD,BCD-06.2
BCD,BCD-07
BCD,BCD-08
BCD,BCD-08.1
BCD,BCD-08.2
BCD,BCD-09
BCD,BCD-09.1
BCD,BCD-09.2
BCD,BCD-09.3
BCD,BCD-09.4
BCD,BCD-09.5
BCD,BCD-10
BCD,BCD-10.1
BCD,BCD-10.2
BCD,BCD-10.3
BCD,BCD-10.4
BCD,BCD-11
BCD,BCD-11.1
BCD,BCD-11.10
BCD,BCD-11.2
BCD,BCD-11.3
BCD,BCD-11.4
BCD,BCD-11.5
BCD,BCD-11.6
BCD,BCD-11.7
BCD,BCD-11.8
BCD,BCD-11.9
BCD,BCD-12
BCD,BCD-12.1
BCD,BCD-12.2
BCD,BCD-12.3
BCD,BCD-12.4
BCD,BCD-13
BCD,BCD-13.1
BCD,BCD-14
BCD,BCD-15
BCD,BCD-16
CAP,CAP-01
CAP,CAP-02
CAP,CAP-03
CAP,CAP-04
CAP,CAP-05
CAP,CAP-06
CFG,CFG-01
CFG,CFG-01.1
CFG,CFG-02
CFG,CFG-02.1
CFG,CFG-02.2
CFG,CFG-02.3
CFG,CFG-02.4
CFG,CFG-02.5
CFG,CFG-02.6
CFG,CFG-02.7
CFG,CFG-02.8
CFG,CFG-02.9
CFG,CFG-03
CFG,CFG-03.1
CFG,CFG-03.2
CFG,CFG-03.3
CFG,CFG-03.4
CFG,CFG-04
CFG,CFG-04.1
CFG,CFG-04.2
CFG,CFG-05
CFG,CFG-05.1
CFG,CFG-05.2
CFG,CFG-06
CFG,CFG-06.1
CFG,CFG-07
CFG,CFG-08
CFG,CFG-08.1
CHG,CHG-01
CHG,CHG-02
CHG,CHG-02.1
CHG,CHG-02.2
CHG,CHG-02.3
CHG,CHG-02.4
CHG,CHG-02.5
CHG,CHG-03
CHG,CHG-04
CHG,CHG-04.1
CHG,CHG-04.2
CHG,CHG-04.3
CHG,CHG-04.4
CHG,CHG-04.5
CHG,CHG-05
CHG,CHG-06
CHG,CHG-06.1
CHG,CHG-07
CHG,CHG-07.1
CLD,CLD-01
CLD,CLD-01.1
CLD,CLD-01.2
CLD,CLD-02
CLD,CLD-03
CLD,CLD-04
CLD,CLD-05
CLD,CLD-06
CLD,CLD-06.1
CLD,CLD-06.2
CLD,CLD-06.3
CLD,CLD-06.4
CLD,CLD-07
CLD,CLD-08
CLD,CLD-09
CLD,CLD-10
CLD,CLD-11
CLD,CLD-12
CLD,CLD-13
CLD,CLD-13.1
CLD,CLD-13.2
CLD,CLD-14
CPL,CPL-01
CPL,CPL-01.1
CPL,CPL-01.2
CPL,CPL-01.3
CPL,CPL-01.4
CPL,CPL-01.5
CPL,CPL-02
CPL,CPL-02.1
CPL,CPL-02.2
CPL,CPL-02.3
CPL,CPL-03
CPL,CPL-03.1
CPL,CPL-03.2
CPL,CPL-03.3
CPL,CPL-04
CPL,CPL-05
CPL,CPL-05.1
CPL,CPL-05.2
CPL,CPL-06
CPL,CPL-07
CPL,CPL-07.1
CPL,CPL-08
CPL,CPL-08.1
CRY,CRY-01
CRY,CRY-01.1
CRY,CRY-01.2
CRY,CRY-01.3
CRY,CRY-01.4
CRY,CRY-01.5
CRY,CRY-02
CRY,CRY-03
CRY,CRY-04
CRY,CRY-05
CRY,CRY-05.1
CRY,CRY-05.2
CRY,CRY-05.3
CRY,CRY-06
CRY,CRY-07
CRY,CRY-08
CRY,CRY-08.1
CRY,CRY-09
CRY,CRY-09.1
CRY,CRY-09.2
CRY,CRY-09.3
CRY,CRY-09.4
CRY,CRY-09.5
CRY,CRY-09.6
CRY,CRY-09.7
CRY,CRY-10
CRY,CRY-11
CRY,CRY-12
DCH,DCH-01
DCH,DCH-01.1
DCH,DCH-01.2
DCH,DCH-01.3
DCH,DCH-01.4
DCH,DCH-02
DCH,DCH-02.1
DCH,DCH-03
DCH,DCH-03.1
DCH,DCH-03.2
DCH,DCH-03.3
DCH,DCH-04
DCH,DCH-04.1
DCH,DCH-05
DCH,DCH-05.1
DCH,DCH-05.10
DCH,DCH-05.11
DCH,DCH-05.2
DCH,DCH-05.3
DCH,DCH-05.4
DCH,DCH-05.5
DCH,DCH-05.6
DCH,DCH-05.7
DCH,DCH-05.8
DCH,DCH-05.9
DCH,DCH-06
DCH,DCH-06.1
DCH,DCH-06.2
DCH,DCH-06.3
DCH,DCH-06.4
DCH,DCH-06.5
DCH,DCH-07
DCH,DCH-07.1
DCH,DCH-07.2
DCH,DCH-08
DCH,DCH-09
DCH,DCH-09.1
DCH,DCH-09.2
DCH,DCH-09.3
DCH,DCH-09.4
DCH,DCH-09.5
DCH,DCH-10
DCH,DCH-10.1
DCH,DCH-10.2
DCH,DCH-11
DCH,DCH-12
DCH,DCH-13
DCH,DCH-13.1
DCH,DCH-13.2
DCH,DCH-13.3
DCH,DCH-13.4
DCH,DCH-14
DCH,DCH-14.1
DCH,DCH-14.2
DCH,DCH-14.3
DCH,DCH-15
DCH,DCH-16
DCH,DCH-17
DCH,DCH-18
DCH,DCH-18.1
DCH,DCH-18.2
DCH,DCH-18.3
DCH,DCH-19
DCH,DCH-20
DCH,DCH-21
DCH,DCH-22
DCH,DCH-22.1
DCH,DCH-22.2
DCH,DCH-22.3
DCH,DCH-23
DCH,DCH-23.1
DCH,DCH-23.2
DCH,DCH-23.3
DCH,DCH-23.4
DCH,DCH-23.5
DCH,DCH-23.6
DCH,DCH-23.7
DCH,DCH-23.8
DCH,DCH-23.9
DCH,DCH-24
DCH,DCH-24.1
DCH,DCH-25
DCH,DCH-25.1
DCH,DCH-26
DCH,DCH-27
EMB,EMB-01
EMB,EMB-02
EMB,EMB-03
EMB,EMB-04
EMB,EMB-05
EMB,EMB-06
EMB,EMB-07
EMB,EMB-08
EMB,EMB-09
EMB,EMB-10
EMB,EMB-11
EMB,EMB-12
EMB,EMB-13
EMB,EMB-14
EMB,EMB-15
EMB,EMB-16
EMB,EMB-17
EMB,EMB-18
EMB,EMB-19
END,END-01
END,END-02
END,END-03
END,END-03.1
END,END-03.2
END,END-04
END,END-04.1
END,END-04.2
END,END-04.3
END,END-04.4
END,END-04.5
END,END-04.6
END,END-04.7
END,END-05
END,END-06
END,END-06.1
END,END-06.2
END,END-06.3
END,END-06.4
END,END-06.5
END,END-06.6
END,END-06.7
END,END-07
END,END-08
END,END-08.1
END,END-08.2
END,END-09
END,END-10
END,END-11
END,END-12
END,END-13
END,END-13.1
END,END-13.2
END,END-13.3
END,END-13.4
END,END-14
END,END-14.1
END,END-14.2
END,END-14.3
END,END-14.4
END,END-14.5
END,END-14.6
END,END-15
END,END-16
END,END-16.1
GOV,GOV-01
GOV,GOV-01.1
GOV,GOV-01.2
GOV,GOV-01.3
GOV,GOV-02
GOV,GOV-02.1
GOV,GOV-03
GOV,GOV-04
GOV,GOV-04.1
GOV,GOV-04.2
GOV,GOV-05
GOV,GOV-05.1
GOV,GOV-05.2
GOV,GOV-06
GOV,GOV-07
GOV,GOV-08
GOV,GOV-09
GOV,GOV-10
GOV,GOV-11
GOV,GOV-12
GOV,GOV-13
GOV,GOV-14
GOV,GOV-15
GOV,GOV-15.1
GOV,GOV-15.2
GOV,GOV-15.3
GOV,GOV-15.4
GOV,GOV-15.5
GOV,GOV-16
GOV,GOV-16.1
GOV,GOV-16.2
GOV,GOV-17
GOV,GOV-18
HRS,HRS-01
HRS,HRS-01.1
HRS,HRS-02
HRS,HRS-02.1
HRS,HRS-02.2
HRS,HRS-03
HRS,HRS-03.1
HRS,HRS-03.2
HRS,HRS-04
HRS,HRS-04.1
HRS,HRS-04.2
HRS,HRS-04.3
HRS,HRS-04.4
HRS,HRS-05
HRS,HRS-05.1
HRS,HRS-05.2
HRS,HRS-05.3
HRS,HRS-05.4
HRS,HRS-05.5
HRS,HRS-05.6
HRS,HRS-05.7
HRS,HRS-06
HRS,HRS-06.1
HRS,HRS-06.2
HRS,HRS-07
HRS,HRS-07.1
HRS,HRS-07.2
HRS,HRS-08
HRS,HRS-09
HRS,HRS-09.1
HRS,HRS-09.2
HRS,HRS-09.3
HRS,HRS-09.4
HRS,HRS-10
HRS,HRS-11
HRS,HRS-12
HRS,HRS-12.1
HRS,HRS-13
HRS,HRS-13.1
HRS,HRS-13.2
HRS,HRS-13.3
HRS,HRS-13.4
HRS,HRS-14
HRS,HRS-14.1
HRS,HRS-15
IAC,IAC-01
IAC,IAC-01.1
IAC,IAC-01.2
IAC,IAC-01.3
IAC,IAC-02
IAC,IAC-02.1
IAC,IAC-02.2
IAC,IAC-02.3
IAC,IAC-02.4
IAC,IAC-03
IAC,IAC-03.1
IAC,IAC-03.2
IAC,IAC-03.3
IAC,IAC-03.4
IAC,IAC-03.5
IAC,IAC-04
IAC,IAC-04.1
IAC,IAC-04.2
IAC,IAC-05
IAC,IAC-05.1
IAC,IAC-05.2
IAC,IAC-06
IAC,IAC-06.1
IAC,IAC-06.2
IAC,IAC-06.3
IAC,IAC-06.4
IAC,IAC-07
IAC,IAC-07.1
IAC,IAC-07.2
IAC,IAC-08
IAC,IAC-09
IAC,IAC-09.1
IAC,IAC-09.2
IAC,IAC-09.3
IAC,IAC-09.4
IAC,IAC-09.5
IAC,IAC-09.6
IAC,IAC-10
IAC,IAC-10.1
IAC,IAC-10.10
IAC,IAC-10.11
IAC,IAC-10.12
IAC,IAC-10.13
IAC,IAC-10.2
IAC,IAC-10.3
IAC,IAC-10.4
IAC,IAC-10.5
IAC,IAC-10.6
IAC,IAC-10.7
IAC,IAC-10.8
IAC,IAC-10.9
IAC,IAC-11
IAC,IAC-12
IAC,IAC-12.1
IAC,IAC-13
IAC,IAC-13.1
IAC,IAC-13.2
IAC,IAC-13.3
IAC,IAC-14
IAC,IAC-15
IAC,IAC-15.1
IAC,IAC-15.2
IAC,IAC-15.3
IAC,IAC-15.4
IAC,IAC-15.5
IAC,IAC-15.6
IAC,IAC-15.7
IAC,IAC-15.8
IAC,IAC-15.9
IAC,IAC-16
IAC,IAC-16.1
IAC,IAC-16.2
IAC,IAC-17
IAC,IAC-18
IAC,IAC-19
IAC,IAC-20
IAC,IAC-20.1
IAC,IAC-20.2
IAC,IAC-20.3
IAC,IAC-20.4
IAC,IAC-20.5
IAC,IAC-20.6
IAC,IAC-20.7
IAC,IAC-21
IAC,IAC-21.1
IAC,IAC-21.2
IAC,IAC-21.3
IAC,IAC-21.4
IAC,IAC-21.5
IAC,IAC-21.6
IAC,IAC-21.7
IAC,IAC-22
IAC,IAC-23
IAC,IAC-24
IAC,IAC-24.1
IAC,IAC-25
IAC,IAC-25.1
IAC,IAC-26
IAC,IAC-27
IAC,IAC-28
IAC,IAC-28.1
IAC,IAC-28.2
IAC,IAC-28.3
IAC,IAC-28.4
IAC,IAC-28.5
IAC,IAC-29
IAO,IAO-01
IAO,IAO-01.1
IAO,IAO-02
IAO,IAO-02.1
IAO,IAO-02.2
IAO,IAO-02.3
IAO,IAO-02.4
IAO,IAO-03
IAO,IAO-03.1
IAO,IAO-03.2
IAO,IAO-04
IAO,IAO-05
IAO,IAO-05.1
IAO,IAO-06
IAO,IAO-07
IRO,IRO-01
IRO,IRO-02
IRO,IRO-02.1
IRO,IRO-02.2
IRO,IRO-02.3
IRO,IRO-02.4
IRO,IRO-02.5
IRO,IRO-02.6
IRO,IRO-03
IRO,IRO-04
IRO,IRO-04.1
IRO,IRO-04.2
IRO,IRO-04.3
IRO,IRO-05
IRO,IRO-05.1
IRO,IRO-05.2
IRO,IRO-06
IRO,IRO-06.1
IRO,IRO-07
IRO,IRO-08
IRO,IRO-09
IRO,IRO-09.1
IRO,IRO-09.2
IRO,IRO-10
IRO,IRO-10.1
IRO,IRO-10.2
