source_id,target_id,rel_type,detail
RIGHT-INFORMATION,PRIN-FAIRNESS,RELATED_PRINCIPLE,"Fairness, Transparency"
RIGHT-INFORMATION,PRIN-TRANSPARENCY,RELATED_PRINCIPLE,"Fairness, Transparency"
RIGHT-ACCESS,PRIN-FAIRNESS,RELATED_PRINCIPLE,"Fairness, Transparency, Accountability"
RIGHT-ACCESS,PRIN-TRANSPARENCY,RELATED_PRINCIPLE,"Fairness, Transparency, Accountability"
RIGHT-ACCESS,PRIN-ACCOUNTABILITY,RELATED_PRINCIPLE,"Fairness, Transparency, Accountability"
RIGHT-RECTIFICATION,PRIN-ACCURACY,RELATED_PRINCIPLE,Accuracy
RIGHT-ERASURE,PRIN-STORAGE-LIMITATION,RELATED_PRINCIPLE,"Storage limitation, Purpose limitation, Lawfulness"
RIGHT-ERASURE,PRIN-PURPOSE-LIMITATION,RELATED_PRINCIPLE,"Storage limitation, Purpose limitation, Lawfulness"
RIGHT-ERASURE,PRIN-LAWFULNESS,RELATED_PRINCIPLE,"Storage limitation, Purpose limitation, Lawfulness"
RIGHT-RESTRICTION,PRIN-ACCURACY,RELATED_PRINCIPLE,"Accuracy, Lawfulness, Purpose limitation"
RIGHT-RESTRICTION,PRIN-LAWFULNESS,RELATED_PRINCIPLE,"Accuracy, Lawfulness, Purpose limitation"
RIGHT-RESTRICTION,PRIN-PURPOSE-LIMITATION,RELATED_PRINCIPLE,"Accuracy, Lawfulness, Purpose limitation"
RIGHT-NOTIFICATION,PRIN-ACCURACY,RELATED_PRINCIPLE,Accuracy
RIGHT-PORTABILITY,PRIN-INTEGRITY-CONFIDENTIALITY,RELATED_PRINCIPLE,"Integrity, Confidentiality"
RIGHT-OBJECT,PRIN-FAIRNESS,RELATED_PRINCIPLE,"Fairness, Purpose limitation"
RIGHT-OBJECT,PRIN-PURPOSE-LIMITATION,RELATED_PRINCIPLE,"Fairness, Purpose limitation"
RIGHT-OBJECT-DIRECT-MARKETING,PRIN-FAIRNESS,RELATED_PRINCIPLE,Fairness
RIGHT-NO-AUTOMATED-DECISION,PRIN-FAIRNESS,RELATED_PRINCIPLE,Fairness
