source_id,target_id,rel_type,detail
SEC-PRINCIPLES,PRIN-LAWFULNESS,DISCUSSES,
SEC-PRINCIPLES,PRIN-FAIRNESS,DISCUSSES,
SEC-PRINCIPLES,PRIN-TRANSPARENCY,DISCUSSES,
SEC-PRINCIPLES,PRIN-ACCOUNTABILITY,DISCUSSES,
SEC-PRINCIPLES,PRIN-PURPOSE-LIMITATION,DISCUSSES,
SEC-PRINCIPLES,PRIN-DATA-MINIMIZATION,DISCUSSES,
SEC-PRINCIPLES,PRIN-ACCURACY,DISCUSSES,
SEC-PRINCIPLES,PRIN-STORAGE-LIMITATION,DISCUSSES,
SEC-PRINCIPLES,PRIN-INTEGRITY-CONFIDENTIALITY,DISCUSSES,
SEC-GROUNDS,GROUND-CONSENT,DISCUSSES,
SEC-GROUNDS,GROUND-CONTRACT,DISCUSSES,
SEC-GROUNDS,GROUND-LEGAL-OBLIGATION,DISCUSSES,
SEC-GROUNDS,GROUND-VITAL-INTEREST,DISCUSSES,
SEC-GROUNDS,GROUND-LEGITIMATE-INTEREST,DISCUSSES,
SEC-GROUNDS,GROUND-PUBLIC-INTEREST,DISCUSSES,
SEC-GROUNDS,GROUND-EXPRESSLY-BY-LAW,DISCUSSES,
SEC-GROUNDS,GROUND-MADE-PUBLIC,DISCUSSES,
SEC-GROUNDS,GROUND-ESTABLISH-RIGHT,DISCUSSES,
SEC-RIGHTS,RIGHT-INFORMATION,DISCUSSES,
SEC-RIGHTS,RIGHT-INFORMATION-THIRD-PARTY,DISCUSSES,
SEC-RIGHTS,RIGHT-ACCESS,DISCUSSES,
SEC-RIGHTS,RIGHT-RECTIFICATION,DISCUSSES,
SEC-RIGHTS,RIGHT-ERASURE,DISCUSSES,
SEC-RIGHTS,RIGHT-RESTRICTION,DISCUSSES,
SEC-RIGHTS,RIGHT-NOTIFICATION,DISCUSSES,
SEC-RIGHTS,RIGHT-PORTABILITY,DISCUSSES,
SEC-RIGHTS,RIGHT-OBJECT,DISCUSSES,
SEC-RIGHTS,RIGHT-OBJECT-DIRECT-MARKETING,DISCUSSES,
SEC-RIGHTS,RIGHT-NO-AUTOMATED-DECISION,DISCUSSES,
SEC-SPECIAL-GROUNDS,MEAS-KVKK-ART9,DISCUSSES,
SEC-SPECIAL-GROUNDS,MEAS-AUTHORITY-SET,DISCUSSES,
SEC-SPECIAL-GROUNDS,MEAS-GDPR-9-4,DISCUSSES,
