reference_id,citation,source_document
REF-01,Açık Rıza | Kişisel Verileri Koruma Kurumu. (n.d.). Retrieved from https://kvkk.gov.tr/yayinlar/A%C3%87IK%20RIZA.pdf,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-02,Açık Rıza Alırken Dikkat Edilecek Hususlar | Kişisel Verileri Koruma Kurumu. (n.d.). Retrieved from https://www.kvkk.gov.tr/Icerik/2037/Acik-Riza-Alirken-Dikkat-Edilecek-Hususlar,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-03,Alenileştirme” Hakkında Kamuoyu Duyurusu | Kişisel Verileri Koruma Kurumu. (2020). Retrieved from https://www.kvkk.gov.tr/Icerik/6843/-ALENILESTIRME-HAKKINDA-KAMUOYU-DUYURUSU,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-04,Are there any exceptions? (n.d.). Retrieved from https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/individual-rights/the-right-to-be-informed/are-there-any-exceptions/#id4,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-05,"Ausloos, J. (2020, January 1). The Right to Erasure in EU Data Protection Law.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-06,"Besemer, L. (2020). PRIVACY AND DATA PROTECTION.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-07,"Bilir F. (2020). The Review of 6698 Numbered Personal Data Protection Law and Protection of Personal Data in the Internet Age. Anayasa Yargısı, Cilt: 37, Sayı: 2, s.305–342.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-08,Binding Decision 3/2022 on the dispute submitted by the Irish SA on Meta Platforms Ireland Limited and its Facebook service (Art. 65 GDPR) | European Data Protection Board. (n.d.).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-09,"Case C 487/21 (2023) Österreichische Datenschutzbehörde, v. CRIF GmbH",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-10,"Case C-579/21 (2023) J.M. v. Apulaistietosuojavaltuutettu, Pankki S",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-11,Communique on Principles and Procedures to Be Followed in Fulfillment of the Obligation to Inform | Kişisel Verileri Koruma Kurumu. (2018).,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-12,Develioğlu M.(2017). 6698 sayılı Kişisel Verilerin Korunması Kanunu ile Karşılaştırmalı Olarak Avrupa Birliği Genel Veri Koruma Tüzüğü Uyarınca Kişisel Verilerin Korunması Hukuku. İstanbul: On İki Levha Yayıncılık.,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-13,Dienst S.(2017). Lawful processing of personal data in companies under the GDPR. D. Rücker &T. Kugler (Eds.). New European General Data Protection Regulation: A Practitioner's Guide (pp.49-103),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-14,Doğru Bilinen Yanlışlar 2 | Kişisel Verileri Koruma Kurumu. (n.d.),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
REF-15,"Europe, C. O., & Rights, E. U. A. F. F. (2018). Handbook on European data protection law. Council of Europe.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
