provision_id,instrument,article_label,note,source_document
KVKK-4(2)(a),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 4(2)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-4(2)(c),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 4(2)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-4(2)(ç),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 4(2)(ç),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-4(2)(d),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 4(2)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-4(2)(f),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 4(2)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(1),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(1),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(1)(e),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(1)(e),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(2),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(2)(a),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(2)(a),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(2)(b),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(2)(b),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(2)(c),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(2)(c),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(2)(ç),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(2)(ç),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(2)(d),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(2)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-5(2)(f),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 5(2)(f),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-6(2),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 6(2),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
KVKK-6(3),KVKK (Turkish Personal Data Protection Act No: 6698),Art. 6(3),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
