tablerow_id,table_id,row_order,col1,col2,col3,source_document
TBL-1-R1,TBL-1,1,Disclosure of processing purposes requiring consent is necessary,Art.(6)(1)(a),Authority’s Consent Guideline p.4,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R2,TBL-1,2,Controllers bear the burden of proof,Art.7(1),Authority’s Consent Guideline p.3,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R3,TBL-1,3,A distinct and separate approach is necessary when seeking consent alongside other matters in writing,Art.7(2),Communique of the Authority on Information Obligation Art.(5)(1)(f) The information obligation must be fulfilled independently of the consent-taking process,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R4,TBL-1,4,"Consent sought in writing must be presented in an intelligible and easily accessible form, using clear and plain language",Art.7(2),Authority’s Consent Guideline p.5,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R5,TBL-1,5,Controllers have an information obligation before soliciting consent,Art. 7(3),"Communique of the Authority Art.(5)(1)(a), Authority, Consent Guideline p.5",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R6,TBL-1,6,Providing individuals with a genuine opportunity to refuse being subjected to processing requires consent,Art.7(3),Authority’s Consent Guideline p.6,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R7,TBL-1,7,Offering an effective and user-friendly withdrawal mechanism is mandatory,Art.7(3),Authority’s Guideline-True Known Faults 2 pp.17-18,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R8,TBL-1,8,Consent cannot be made conditional on the provision of services for being able to process personal data not necessary for the performance of the contract,Art. 7(4),"Authority’s Consent Guideline, p.6",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R9,TBL-1,9,"if adverse consequences may arise as a result of processing, then the consent cannot be considered freely given and therefore not valid",European Data Protection Board (“EDPB”) Guidelines 05/2020 para 22,"Authority’s Consent Guideline, p.6",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-1-R10,TBL-1,10,"if there is a clear imbalance of power in the relationship between the controller and the data subject, the validity of the explicit consent of data subjects may be suspect","EDPB Guidelines 05/2020, para 21","Authority’s Consent Guideline, p.6",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2-R1,TBL-2,1,"Can be processed if one of the below exceptions exist: Explicit Consent, Art. 9(2(a)","For data concerning health, and data concerning a natural person's sex life; Explicit consent, Art. (6)(2)",,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2-R2,TBL-2,2,"Employment and social security and social protection law, Art. 9(2)(b)","by only persons subject to secrecy obligation or competent public institutions public health protection, preventive medicine, medical diagnosis, treatment and nursing services, planning and management of health-care services, as well as their financing, Art. (6)(3)",,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2-R3,TBL-2,3,"Legitimate activities of a foundation, association or any other not-for-profit body",For other special categories; Explicit consent Art. (6)(3),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2-R4,TBL-2,4,"Personal data which are manifestly made public by the data subject, Art. 9(2)(e)",If it is expressly provided for by the laws Art.(6)(3),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2-R5,TBL-2,5,"For reasons of substantial public interest, Art. 9(2)(g)",,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2-R6,TBL-2,6,"For the purposes of preventive or occupational medicine, Art. 9(2)(h)",,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2-R7,TBL-2,7,For reasons of public interest in the area of public health 9(2)(i),,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2-R8,TBL-2,8,"For archiving purposes in the public interest, scientific or historical research purposes or statistical purposes 9(2)(j)",,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R1,TBL-3,1,The identity and contact details of the controller,Art. 13(1)(a),Art. 10(1)(a),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R2,TBL-3,2,"The contact details of the data protection officer, where applicable",Art. 13(1)(b),No concept of data protection officer in the KVKK,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R3,TBL-3,3,The purposes of the processing,Art. 13(1)(c),Art. 10(1)(b),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R4,TBL-3,4,Legal basis for the processing,Art. 13(1)(c),Art. 10(1)(ç),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R5,TBL-3,5,The legitimate interests pursued by the controller or by a third party,Art. 13(1)(d),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R6,TBL-3,6,The recipients or categories of recipients of the personal data and information about the purpose of the transfer,Art. 13(1)(e),Art. 10(1)(c),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R7,TBL-3,7,The existence or absence of an adequacy decision,Art. 13(1)(f),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R8,TBL-3,8,Reference to the appropriate or suitable safeguards,Art. 13(1)(f),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R9,TBL-3,9,The period for which the personal data will be stored,Art. 13(2)(a),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R10,TBL-3,10,Existence of rights of data subjects,"Art. 13(2)(b), (c), (d)",Art. 10(1)(d),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R11,TBL-3,11,"Provision of personal data is a statutory or contractual requirement, or a requirement necessary to enter into a contract",Art. 13(2)(e),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R12,TBL-3,12,"The existence of automated decision-making, including profiling and the logic behind it and consequences of it for data subjects",Art. 13(2)(f),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R13,TBL-3,13,The method of collection of personal data,X,Art. 10(1)(ç),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3-R14,TBL-3,14,New purposes other than initially expressed,Art.13(3),X,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-4-R1,TBL-4,1,Within a reasonable period after obtaining the personal data,Art. 14(3)(a),Art. 6(1)(a) of the Communique,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-4-R2,TBL-4,2,At the latest within one month,Art. 14(3)(a),"X, no obligatory deadline",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-4-R3,TBL-4,3,At the latest at the time of the first communication to that data subject if the personal data are to be used for communication with the data subject,Art. 14/3-b,Art. 6(1)(b) of the Communique,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-4-R4,TBL-4,4,At the latest when the personal data are first disclosed,"If a disclosure to another recipient is envisaged, Art. 14(3)(c)","At the time of the first transfer of personal, Art. 6(1)(b) of the Communique",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
