measure_id,verbatim_text,source_document
MEAS-KVKK-ART9,Article 9 of the KVKK states that the Authority is empowered to take adequate measures in the processing of special categories of personal data.,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
MEAS-AUTHORITY-SET,"the Authority has outlined a set of measures, such as non-disclosure agreements, determination of access rights, cryptographic retention, and process logs, which can be employed during the processing of personal data",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
MEAS-GDPR-9-4,"Article 9(4) of the GDPR permits member states to retain or introduce additional conditions, including limitations, related to the processing of genetic data, biometric data, or data concerning health",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
