source_id,target_id,rel_type,detail
SEC-PRINCIPLES,FIND-1,STATES_FINDING,
SEC-PRINCIPLES,FIND-2,STATES_FINDING,
SEC-PRINCIPLES,FIND-3,STATES_FINDING,
SEC-GROUNDS,FIND-4,STATES_FINDING,
SEC-GROUNDS,FIND-5,STATES_FINDING,
SEC-GROUNDS,FIND-6,STATES_FINDING,
SEC-GROUNDS,FIND-7,STATES_FINDING,
SEC-GROUNDS,FIND-8,STATES_FINDING,
SEC-SPECIAL-GROUNDS,FIND-9,STATES_FINDING,
SEC-SPECIAL-GROUNDS,FIND-10,STATES_FINDING,
SEC-CONCLUSION,FIND-11,STATES_FINDING,
SEC-CONCLUSION,FIND-12,STATES_FINDING,
SEC-CONCLUSION,FIND-13,STATES_FINDING,
SEC-CONCLUSION,FIND-14,STATES_FINDING,
SEC-CONCLUSION,FIND-15,STATES_FINDING,
SEC-INTRO,FIND-16,STATES_FINDING,
SEC-INTRO,FIND-17,STATES_FINDING,
SEC-INTRO,FIND-18,STATES_FINDING,
SEC-INTRO,FIND-19,STATES_FINDING,
