specialcategory_id,name,verbatim_text,recognised_under,note,source_document
SPC-COMMON,Categories aligned under both the GDPR and the KVKK,"racial or ethnic origin, political opinions, religious or philosophical beliefs, trade union membership, genetic data, biometric data, data concerning health, and data concerning a person's sex life",GDPR and KVKK,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
SPC-SEXUAL-ORIENTATION,sexual orientation,"Although the KVKK doesn't explicitly state sexual orientation as a special category of personal data, it can be inferred that this category falls under the broader classification of someone’s sex life.",GDPR,,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
SPC-CRIMINAL-CONVICTION,criminal conviction,"One of the additional categories in the KVKK is ""criminal conviction,"" which is separately regulated in Article 10 of the GDPR.",KVKK additional category,"Currently, under the KVKK, records such as inhibition or custody are not considered criminal convictions and are not categorized as special personal data since they are preventive measures rather than final verdicts. However, a record related to an ordinary offense constitutes a special category of personal data.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
SPC-APPEARANCE,appearance,"Another additional special category of personal data in the KVKK is ""appearance,"" encompassing tattoos, clothing preferences, hair and mustache styles, and any other data related to the physical body's reflection.",KVKK additional category,"These types of data are considered special categories because they can provide information about someone's religious, political, or philosophical beliefs.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
