source_id,target_id,rel_type,detail
TBL-5-R1,RIGHT-INFORMATION,ROW_ABOUT,
TBL-5-R2,RIGHT-ACCESS,ROW_ABOUT,
TBL-5-R3,RIGHT-RECTIFICATION,ROW_ABOUT,
TBL-5-R4,RIGHT-ERASURE,ROW_ABOUT,
TBL-5-R5,RIGHT-RESTRICTION,ROW_ABOUT,
TBL-5-R6,RIGHT-NOTIFICATION,ROW_ABOUT,
TBL-5-R7,RIGHT-PORTABILITY,ROW_ABOUT,
TBL-5-R8,RIGHT-OBJECT,ROW_ABOUT,
TBL-5-R9,RIGHT-OBJECT-DIRECT-MARKETING,ROW_ABOUT,
TBL-5-R10,RIGHT-NO-AUTOMATED-DECISION,ROW_ABOUT,
TBL-1-R1,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R2,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R3,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R4,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R5,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R6,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R7,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R8,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R9,GROUND-CONSENT,ROW_ABOUT,
TBL-1-R10,GROUND-CONSENT,ROW_ABOUT,
