source_id,target_id,rel_type,detail
SEC-GROUNDS,TBL-1,CONTAINS_TABLE,
SEC-SPECIAL-GROUNDS,TBL-2,CONTAINS_TABLE,
SEC-RIGHTS,TBL-3,CONTAINS_TABLE,
SEC-RIGHTS,TBL-4,CONTAINS_TABLE,
SEC-RIGHTS,TBL-5,CONTAINS_TABLE,
