datasubjectright_id,name,verbatim_text,gdpr_reference,kvkk_reference,comparative_note,source_document
RIGHT-INFORMATION,Right to Information,both the GDPR (Art.12-14) and the KVKK (Art.10) mandate the provision of certain information to data subjects before commencing the processing of their personal data.,Art. 12-14,Art. 10,"While the GDPR considers the right to information as a right, the KVKK classifies it as an obligation for controllers.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-INFORMATION-THIRD-PARTY,Right to Information when personal data is gathered from third parties,"In situations where personal data is acquired from third parties, GDPR Art. 14 mandates the obligation to provide information to data subjects regarding processing activities.",Art. 14,Missing,"Although the KVKK lacks a specific provision regarding the obligation to inform when collecting personal data from third parties, relevant provisions on this matter can be found in the Authority's “Communique On Principles and Procedures to Be Followed in Fulfillment of the Obligation to Inform”.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-ACCESS,Right of access by the data subjects,The right of access empowers data subjects to confirm processing activities related to their personal data and acquire information in accordance with the required details.,Art. 15,Art. 11(a); Art. 11(b),"In the context of the KVKK, the legislation doesn't explicitly use the term ""the right of access."" Instead, it employs the phrase ""data subjects may request whether their personal data is processing and, if so, information about personal data processing activities.""",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-RECTIFICATION,Right to rectification,"GDPR Art. 16 and KVKK Art.11(1)(d) confer upon data subjects the right to rectification, allowing them to request the correction or modification of their personal data.",Art. 16,Art. 11(1)(d),,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-ERASURE,Right to erasure,The right to erasure is conferred upon data subjects by GDPR Art. 17 and KVKK Art.11(1)(e).,Art. 17,Art. 11(1)(e),"Art.11(e) of the KVKK states that in the event the reasons for processing cease to exist, a data subject may request the erasure of their personal data.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-RESTRICTION,Right to restriction of processing,"While the GDPR affords data subjects the right to restrict processing, the KVKK lacks a similar provision.",Art. 18,Missing,KVKK Missing,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-NOTIFICATION,Right to request notification,"GDPR Article 19 and KVKK Article 11(1)(d) delineate the right to notification, empowering data subjects to compel controllers to inform all recipients of their personal data about any imposed restrictions, erasures, or rectifications.",Art. 19,Art. 11(1)(d),"While the GDPR includes a balancing provision, affirming that the notification obligation stands unless it necessitates disproportionate efforts, the KVKK lacks a corresponding exception, making this duty obligatory for controllers subject to the KVKK.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-PORTABILITY,Right to data portability,"This right in the GDPR allows a data subject to obtain and/or transmit a copy of personal data concerning him/her in a structured, commonly used, and machine-readable format if the processing is based on consent or the performance of a contract and is carried out by automated means.",Art. 20,Missing,One of the rights regulated by the GDPR through Article 20 but absent in the KVKK is the right to data portability.,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-OBJECT,Right to object,"the GDPR, which, through Article 21, grants data subjects the power to object to the processing of their personal data, including profiling based on the legitimate interests of controllers or public interest.",Art. 21; Art. 21(1),Missing,The absence of the right to object in the KVKK stands in contrast to the GDPR.,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-OBJECT-DIRECT-MARKETING,Right to object for direct marketing,Article 21(2) of the GDPR grants an absolute right to object to direct marketing.,Art. 21(2),Missing,KVKK Missing,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
RIGHT-NO-AUTOMATED-DECISION,The right not to be subject to solely automated decisions,"While Article 22 of the GDPR governs the right not to be subjected to solely automated decisions, KVKK Article 11(1)(g) similarly states that data subjects have the right to object to the results of decisions based solely on automated processing, albeit with partial alignment.",Art. 22; Art. 22(2),Art. 11(1)(g),"In the implementation of the KVKK, the scope of this right differs, as the objection is not directed towards being subject to solely automated decision-making processes but rather towards the results produced by them.",KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
