table_id,label,caption,column_headings,source_document
TBL-1,Table1,Conditions of Consent Comparatively,Conditions of Consent | GDPR | KVKK,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-2,Table 2:,Legal Grounds/Exceptions for Processing Special Category Personal Data,Special Category Personal Data Processing Exceptions in the GDPR | Legal Grounds for Processing Special Categories of Personal Data in the KVKK,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-3,Table 3:,Information that should be given to applicants under GDPR and KVKK.,Category of Information | GDPR | KVKK,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-4,Table 4:,Different implementations of the information obligation in the GDPR and the KVKK when data collected from third parties,Item | GDPR | KVKK (under the provisions of above mentioned Communique),KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
TBL-5,Table 5:,Rights under the GDPR and KVKK and linked principles&legal grounds,Data Subject Rights under the GDPR | Related Principles | Related Legal Grounds,KB 2/Turkey/Kişisel Verilerin Korunması Kanunu (Turkish Personal Data Protection Law - KVKK).pdf
