source_id,target_id,rel_type,detail
TBL-1,TBL-1-R1,HAS_ROW,1
TBL-1,TBL-1-R2,HAS_ROW,2
TBL-1,TBL-1-R3,HAS_ROW,3
TBL-1,TBL-1-R4,HAS_ROW,4
TBL-1,TBL-1-R5,HAS_ROW,5
TBL-1,TBL-1-R6,HAS_ROW,6
TBL-1,TBL-1-R7,HAS_ROW,7
TBL-1,TBL-1-R8,HAS_ROW,8
TBL-1,TBL-1-R9,HAS_ROW,9
TBL-1,TBL-1-R10,HAS_ROW,10
TBL-2,TBL-2-R1,HAS_ROW,1
TBL-2,TBL-2-R2,HAS_ROW,2
TBL-2,TBL-2-R3,HAS_ROW,3
TBL-2,TBL-2-R4,HAS_ROW,4
TBL-2,TBL-2-R5,HAS_ROW,5
TBL-2,TBL-2-R6,HAS_ROW,6
TBL-2,TBL-2-R7,HAS_ROW,7
TBL-2,TBL-2-R8,HAS_ROW,8
TBL-3,TBL-3-R1,HAS_ROW,1
TBL-3,TBL-3-R2,HAS_ROW,2
TBL-3,TBL-3-R3,HAS_ROW,3
TBL-3,TBL-3-R4,HAS_ROW,4
TBL-3,TBL-3-R5,HAS_ROW,5
TBL-3,TBL-3-R6,HAS_ROW,6
TBL-3,TBL-3-R7,HAS_ROW,7
TBL-3,TBL-3-R8,HAS_ROW,8
TBL-3,TBL-3-R9,HAS_ROW,9
TBL-3,TBL-3-R10,HAS_ROW,10
TBL-3,TBL-3-R11,HAS_ROW,11
TBL-3,TBL-3-R12,HAS_ROW,12
TBL-3,TBL-3-R13,HAS_ROW,13
TBL-3,TBL-3-R14,HAS_ROW,14
TBL-4,TBL-4-R1,HAS_ROW,1
TBL-4,TBL-4-R2,HAS_ROW,2
TBL-4,TBL-4-R3,HAS_ROW,3
TBL-4,TBL-4-R4,HAS_ROW,4
TBL-4,TBL-4-R5,HAS_ROW,5
TBL-4,TBL-4-R6,HAS_ROW,6
TBL-4,TBL-4-R7,HAS_ROW,7
TBL-5,TBL-5-R1,HAS_ROW,1
TBL-5,TBL-5-R2,HAS_ROW,2
TBL-5,TBL-5-R3,HAS_ROW,3
TBL-5,TBL-5-R4,HAS_ROW,4
TBL-5,TBL-5-R5,HAS_ROW,5
TBL-5,TBL-5-R6,HAS_ROW,6
TBL-5,TBL-5-R7,HAS_ROW,7
TBL-5,TBL-5-R8,HAS_ROW,8
TBL-5,TBL-5-R9,HAS_ROW,9
TBL-5,TBL-5-R10,HAS_ROW,10
