source_id,target_id,rel_type,detail
DOC-KVKK-GDPR-2023,SEC-OZ,HAS_SECTION,1
DOC-KVKK-GDPR-2023,SEC-ABSTRACT,HAS_SECTION,2
DOC-KVKK-GDPR-2023,SEC-INTRO,HAS_SECTION,3
DOC-KVKK-GDPR-2023,SEC-PRINCIPLES,HAS_SECTION,4
DOC-KVKK-GDPR-2023,SEC-GROUNDS,HAS_SECTION,5
DOC-KVKK-GDPR-2023,SEC-SPECIAL,HAS_SECTION,6
DOC-KVKK-GDPR-2023,SEC-SPECIAL-DEF,HAS_SECTION,7
DOC-KVKK-GDPR-2023,SEC-SPECIAL-GROUNDS,HAS_SECTION,8
DOC-KVKK-GDPR-2023,SEC-RIGHTS,HAS_SECTION,9
DOC-KVKK-GDPR-2023,SEC-CONCLUSION,HAS_SECTION,10
DOC-KVKK-GDPR-2023,SEC-REFERENCES,HAS_SECTION,11
