deadline_id,due,text,reporting_to,source_document
DL-1,"September 30, 2016","A confirmation in this regard may be communicated to Cyber Security and Information Technology Examination (CSITE) Cell of Department of Banking Supervision, Reserve Bank of India, Central Office, World Trade Centre-I, 4th Floor, Cuffe Parade, Mumbai 400005 at the earliest, and in any case not later than September 30, 2016.","Cyber Security and Information Technology Examination (CSITE) Cell of Department of Banking Supervision, Reserve Bank of India, Central Office",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
DL-2,"July 31, 2016","The identified gaps, proposed measures/controls and their expected effectiveness, milestones with timelines for implementing the proposed controls/measures and measurement criteria for assessing their effectiveness including the risk assessment and risk management methodology followed by the bank/proposed by the bank, as per their self-assessment, may be submitted to the Cyber Security and Information Technology Examination (CSITE) Cell of Department of Banking Supervision, Central Office not later than July 31, 2016 by the Chief Information Security Officer.","Cyber Security and Information Technology Examination (CSITE) Cell of Department of Banking Supervision, Central Office",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
DL-3,within two to 6 hours,Security Incident Reporting (SIR) to RBI (within two to 6 hours),RBI,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
