controldomain_id,number,title,annex,source_document
A1-D1,1,Inventory Management of Business IT Assets,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D2,2,Preventing execution of unauthorised software,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D3,3,Environmental Controls,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D4,4,Network Management and Security,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D5,5,Secure Configuration,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D6,6,Application Security Life Cycle (ASLC),Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D7,7,Patch/Vulnerability & Change Management,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D8,8,User Access Control / Management,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D9,9,Authentication Framework for Customers,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D10,10,Secure mail and messaging systems,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D11,11,Vendor Risk Management,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D12,12,Removable Media,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D13,13,Advanced Real-time Threat Defence and Management,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D14,14,Anti-Phishing,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D15,15,Data Leak prevention strategy,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D16,16,"Maintenance, Monitoring, and Analysis of Audit Logs",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D17,17,Audit Log settings,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D18,18,Vulnerability assessment and Penetration Test and Red Team Exercises,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D19,19,Incident Response & Management,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D20,20,Risk based transaction monitoring,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D21,21,Metrics,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D22,22,Forensics,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D23,23,User / Employee/ Management Awareness,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-D24,24,Customer Education and Awareness,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
