referencedbody_id,name,detail,source_document
ORG-CSITE,Cyber Security and Information Technology Examination (CSITE) Cell,"Department of Banking Supervision, Reserve Bank of India, Central Office, World Trade Centre-I, 4th Floor, Cuffe Parade, Mumbai 400005",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
ORG-CERT-IN,"CERT-IN (Computer Emergency Response Team – India, a Government entity)",,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
ORG-IDRBT,IDRBT,,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
ORG-IB-CART,Indian Banks – Center for Analysis of Risks and Threats (IB-CART),set up by IDRBT,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
ORG-NCIIPC,NCIIPC,,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
