control_id,number,domain_number,sub_heading,text,annex,source_document
A1-1.1,1.1,1,,"Maintain an up-to-date inventory of Assets, including business data/information including customer data/information, business applications, supporting IT infrastructure and facilities – hardware/software/network devices, key personnel, services, etc. indicating their business criticality. The banks may have their own framework/criteria for identifying critical assets.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-1.2,1.2,1,,Classify data/information based on information classification/sensitivity criteria of the bank,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-1.3,1.3,1,,"Appropriately manage and provide protection within and outside organisation borders/network taking into consideration how the data/information are stored, transmitted, processed, accessed and put to use within/outside the bank’s network, and level of risk they are exposed to depending on the sensitivity of the data/information.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-2.1,2.1,2,,"Maintain an up-to-date and preferably centralised inventory of authorised/unauthorised software(s). Consider implementing whitelisting of authorised applications / software/libraries, etc.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-2.2,2.2,2,,"Have mechanism to centrally/otherwise control installation of software/applications on end-user PCs, laptops, workstations, servers, mobile devices, etc. and mechanism to block /prevent and identify installation and running of unauthorised software/applications on such devices/systems.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-2.3,2.3,2,,"Continuously monitor the release of patches by various vendors / OEMs, advisories issued by CERT-in and other similar agencies and expeditiously apply the security patches as per the patch management policy of the bank. If a patch/series of patches is/are released by the OEM/manufacturer/vendor for protection against well- known/well publicised/reported attacks exploiting the vulnerability patched, the banks must have a mechanism to apply them expeditiously following an emergency patch management process.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-2.4,2.4,2,,"Have a clearly defined framework including requirements justifying the exception(s), duration of exception(s), process of granting exceptions, and authority for approving, authority for review of exceptions granted on a periodic basis by officer(s) preferably at senior levels who are well equipped to understand the business and technical context of the exception(s).",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-3.1,3.1,3,,Put in place appropriate environmental controls for securing location of critical assets providing protection from natural and man-made threats.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-3.2,3.2,3,,"Put in place mechanisms for monitoring of breaches / compromises of environmental controls relating to temperature, water, smoke, access alarms, service availability alerts (power supply, telecommunication, servers), access logs, etc. Appropriate physical security measures shall be taken to protect the critical assets of the bank.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.1,4.1,4,,Prepare and maintain an up-to-date network architecture diagram at the organisation level including wired/wireless networks;,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.2,4.2,4,,Maintain an up-to-date/centralised inventory of authorised devices connected to bank’s network (within/outside bank’s premises) and authorised devices enabling the bank’s network. The bank may consider implementing solutions to automate network discovery and management.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.3,4.3,4,,Ensure that all the network devices are configured appropriately and periodically assess whether the configurations are appropriate to the desired level of network security;,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.4,4.4,4,,"Put in appropriate controls to secure wireless local area networks, wireless access points, wireless client access systems.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.5,4.5,4,,"Have mechanisms to identify authorised hardware / mobile devices like Laptops, mobile phones, tablets, etc. and ensure that they are provided connectivity only when they meet the security requirements prescribed by the bank.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.6,4.6,4,,Have mechanism to automatically identify unauthorised device connections to the bank’s network and block such connections.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.7,4.7,4,,"Put in place mechanism to detect and remedy any unusual activities in systems, servers, network devices and endpoints.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.8,4.8,4,,Establish Standard Operating Procedures (SOP) for all major IT activities including for connecting devices to the network.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.9,4.9,4,,Security Operation Centre to monitor the logs of various network activities and should have the capability to escalate any abnormal / undesirable activities.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-4.10,4.10,4,,"Boundary defences should be multi-layered with properly configured firewalls, proxies, DMZ perimeter networks, and network--‐based IPS and IDS. Mechanism to filter both inbound and outbound traffic to be put in place.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-5.1,5.1,5,,"Document and apply baseline security requirements/configurations to all categories of devices (end-points/workstations, mobile devices, operating systems, databases, applications, network devices, security devices, security systems, etc.), throughout the lifecycle (from conception to deployment) and carry out reviews periodically,",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-5.2,5.2,5,,"periodically evaluate critical device (such as firewall, network switches, security devices, etc.) configurations and patch levels for all systems in the bank’s network including in Data Centres, in third party hosted sites, shared-infrastructure locations.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-6.1,6.1,6,,Incorporate/Ensure information security across all stages of application life cycle.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-6.2,6.2,6,,"In respect of critical business applications, banks may consider conducting source code audits by professionally competent personnel/service providers or have assurance from application providers/OEMs that the application is free from embedded malicious / fraudulent code.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-6.3,6.3,6,,Secure coding practices may also be implemented for internally /collaboratively developed applications.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-6.4,6.4,6,,"Besides business functionalities, security requirements relating to system access control, authentication, transaction authorization, data integrity, system activity logging, audit trail, session management, security event tracking and exception handling are required to be clearly specified at the initial and ongoing stages of system development/acquisition/implementation.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-6.5,6.5,6,,"The development, test and production environments need to be properly segregated.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-6.6,6.6,6,,"Software/Application development approach should be based on threat modelling, incorporate secure coding principles and security testing based on global standards and secure rollout.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-6.7,6.7,6,,Ensure that software/application development practices addresses the vulnerabilities based on best practices baselines such as Open Web Application Security Project (OWASP) proactively and adopt principle of defence-in-depth to provide layered security mechanism.,Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-6.8,6.8,6,,"Consider implementing measures such as installing a “containerized” apps on mobile/smart phones for exclusive business use that is encrypted and separated from other smartphone data/applications; measures to initiate a remote wipe on the containerized app, rendering the data unreadable, in case of requirement may also be considered.",Annex 1,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
