controlsubitem_id,letter,control_number,text,source_document
A1-19.6(a),a,19.6,"Define incidents, method of detection, methods of reporting incidents by employees, vendors and customers and periodicity of monitoring, collection/sharing of threat information, expected response in each scenario/incident type, allocate and communicate clear roles and responsibilities of personnel manning/handling such incidents, provide specialised training to such personnel, post incident review, periodically test incident response plans.",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.6(b),b,19.6,Establish and implement a Security Operations Centre for centralised and coordinated monitoring and management of security related incidents.,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.6(c),c,19.6,Establish and implement systems to collect and share threat information from local/national/international sources following legally accepted/defined means/process,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.6(d),d,19.6,"Document and communicate strategies to respond to advanced attacks containing ransom ware/cyber extortion, data destruction, DDOS, etc.",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.6(e),e,19.6,Contain the level of cyber-attack by implementing shielding controls/quarantining the affected devices/systems.,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
A1-19.6(f),f,19.6,"Implement a policy & framework for aligning Security Operation Centre, Incident Response and Digital forensics to reduce the business downtime/ to bounce back to normalcy.",KB 2/India/RBI Cybersecurity Framework for Banks.pdf
