source_id,target_id,rel_type,quote
PARA-8,ANNEX-1,REFERENCES,"An indicative, but not exhaustive, minimum baseline cyber security and resilience framework to be implemented by the banks is given in Annex 1."
PARA-8,ANNEX-2,REFERENCES,An indicative configuration of the SOC is given in Annex 2.
PARA-15,ANNEX-3,REFERENCES,"Banks are required to report promptly the incidents, in the format given in Annex-3."
