annex_id,label,title,source_document
ANNEX-1,Annex 1,Baseline Cyber Security and Resilience Requirements,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
ANNEX-2,Annex-2,Setting up and Operationalising Cyber Security Operation Centre (C-SOC),KB 2/India/RBI Cybersecurity Framework for Banks.pdf
ANNEX-3,Annex-3,Template for reporting Cyber Incidents,KB 2/India/RBI Cybersecurity Framework for Banks.pdf
