"right_id","name","section_id"
"Right-to-Know","Right to Know","1798.100"
"Right-to-Delete","Right to Delete","1798.105"
"Right-to-Correct","Right to Correct","1798.110"
"Right-to-Opt-Out-Sale-Sharing","Right to Opt-Out of Sale or Sharing","1798.120"
"Right-to-Limit-SPI","Right to Limit Use and Disclosure of Sensitive Personal Information","1798.121"
"Right-to-Non-Discrimination","Right to Non-Discrimination for Exercising CPRA Rights","1798.125"
"Right-to-Data-Portability","Right to Data Portability","1798.100"
