annex_id,title,type
A,PIMS reference control objectives and controls for PII controllers and PII processors,normative
B,Implementation guidance for PII controllers and PII processors,normative
C,Mapping to ISO/IEC 29100,informative
D,Mapping to the General Data Protection Regulation,informative
E,Mapping to ISO/IEC 27018 and ISO/IEC 29151,informative
F,Correspondence with ISO/IEC 27701:2019,informative
