source_id,target_id,rel_type,ocr_confidence
TA01,TA01-T01,HAS_TECHNIQUE,high
TA01,TA01-T02,HAS_TECHNIQUE,medium
TA01,TA01-T03,HAS_TECHNIQUE,medium
TA01,TA01-T04,HAS_TECHNIQUE,medium
TA01,TA01-T05,HAS_TECHNIQUE,medium
TA01,TA01-T06,HAS_TECHNIQUE,high
TA01,TA01-T07,HAS_TECHNIQUE,high
TA01,TA01-T08,HAS_TECHNIQUE,medium
TA01,TA01-T09,HAS_TECHNIQUE,medium
TA01,TA01-T10,HAS_TECHNIQUE,medium
TA02,TA02-T01,HAS_TECHNIQUE,high
TA02,TA02-T02,HAS_TECHNIQUE,high
TA02,TA02-T03,HAS_TECHNIQUE,high
TA02,TA02-T04,HAS_TECHNIQUE,high
TA02,TA02-T05,HAS_TECHNIQUE,high
TA02,TA02-T06,HAS_TECHNIQUE,high
TA02,TA02-T07,HAS_TECHNIQUE,high
TA03,TA03-T01,HAS_TECHNIQUE,high
TA03,TA03-T02,HAS_TECHNIQUE,medium
TA03,TA03-T03,HAS_TECHNIQUE,high
TA03,TA03-T04,HAS_TECHNIQUE,high
TA03,TA03-T05,HAS_TECHNIQUE,high
TA03,TA03-T06,HAS_TECHNIQUE,medium
TA03,TA03-T07,HAS_TECHNIQUE,high
TA03,TA03-T08,HAS_TECHNIQUE,high
TA03,TA03-T09,HAS_TECHNIQUE,high
TA03,TA03-T10,HAS_TECHNIQUE,high
TA04,TA04-T01,HAS_TECHNIQUE,high
TA04,TA04-T02,HAS_TECHNIQUE,medium
TA04,TA04-T03,HAS_TECHNIQUE,medium
TA04,TA04-T04,HAS_TECHNIQUE,high
TA04,TA04-T05,HAS_TECHNIQUE,medium
TA04,TA04-T06,HAS_TECHNIQUE,high
TA04,TA04-T07,HAS_TECHNIQUE,medium
TA04,TA04-T08,HAS_TECHNIQUE,high
TA04,TA04-T09,HAS_TECHNIQUE,medium
TA04,TA04-T10,HAS_TECHNIQUE,medium
TA04,TA04-T11,HAS_TECHNIQUE,high
TA04,TA04-T12,HAS_TECHNIQUE,low
TA04,TA04-T13,HAS_TECHNIQUE,low
TA05,TA05-T01,HAS_TECHNIQUE,high
TA05,TA05-T02,HAS_TECHNIQUE,high
TA05,TA05-T03,HAS_TECHNIQUE,high
TA05,TA05-T04,HAS_TECHNIQUE,high
TA05,TA05-T05,HAS_TECHNIQUE,high
TA05,TA05-T06,HAS_TECHNIQUE,high
TA05,TA05-T07,HAS_TECHNIQUE,high
TA05,TA05-T08,HAS_TECHNIQUE,high
TA05,TA05-T09,HAS_TECHNIQUE,high
TA05,TA05-T10,HAS_TECHNIQUE,high
TA05,TA05-T11,HAS_TECHNIQUE,high
TA05,TA05-T12,HAS_TECHNIQUE,high
TA05,TA05-T13,HAS_TECHNIQUE,high
TA05,TA05-T14,HAS_TECHNIQUE,high
TA05,TA05-T15,HAS_TECHNIQUE,medium
TA05,TA05-T16,HAS_TECHNIQUE,high
TA05,TA05-T17,HAS_TECHNIQUE,medium
TA05,TA05-T18,HAS_TECHNIQUE,low
TA05,TA05-T19,HAS_TECHNIQUE,low
TA06,TA06-T01,HAS_TECHNIQUE,low
TA06,TA06-T02,HAS_TECHNIQUE,low
TA06,TA06-T03,HAS_TECHNIQUE,low
TA06,TA06-T04,HAS_TECHNIQUE,low
TA06,TA06-T05,HAS_TECHNIQUE,low
TA06,TA06-T06,HAS_TECHNIQUE,low
TA07,TA07-T01,HAS_TECHNIQUE,high
TA07,TA07-T02,HAS_TECHNIQUE,high
TA07,TA07-T03,HAS_TECHNIQUE,medium
TA07,TA07-T04,HAS_TECHNIQUE,high
TA07,TA07-T05,HAS_TECHNIQUE,high
TA07,TA07-T06,HAS_TECHNIQUE,medium
TA07,TA07-T07,HAS_TECHNIQUE,medium
TA07,TA07-T08,HAS_TECHNIQUE,low
TA07,TA07-T09,HAS_TECHNIQUE,medium
TA07,TA07-T10,HAS_TECHNIQUE,medium
TA07,TA07-T11,HAS_TECHNIQUE,high
TA07,TA07-T12,HAS_TECHNIQUE,high
TA07,TA07-T13,HAS_TECHNIQUE,medium
TA07,TA07-T14,HAS_TECHNIQUE,low
TA07,TA07-T15,HAS_TECHNIQUE,medium
TA07,TA07-T16,HAS_TECHNIQUE,medium
TA07,TA07-T17,HAS_TECHNIQUE,low
TA07,TA07-T18,HAS_TECHNIQUE,high
TA07,TA07-T19,HAS_TECHNIQUE,high
TA07,TA07-T20,HAS_TECHNIQUE,low
TA07,TA07-T21,HAS_TECHNIQUE,medium
TA07,TA07-T22,HAS_TECHNIQUE,low
TA07,TA07-T23,HAS_TECHNIQUE,high
TA07,TA07-T24,HAS_TECHNIQUE,low
TA07,TA07-T25,HAS_TECHNIQUE,high
TA07,TA07-T26,HAS_TECHNIQUE,low
TA07,TA07-T27,HAS_TECHNIQUE,high
TA07,TA07-T28,HAS_TECHNIQUE,high
TA07,TA07-T29,HAS_TECHNIQUE,high
TA07,TA07-T30,HAS_TECHNIQUE,medium
TA07,TA07-T31,HAS_TECHNIQUE,high
TA07,TA07-T32,HAS_TECHNIQUE,high
TA07,TA07-T33,HAS_TECHNIQUE,high
TA07,TA07-T34,HAS_TECHNIQUE,high
TA08,TA08-T01,HAS_TECHNIQUE,high
TA08,TA08-T02,HAS_TECHNIQUE,low
TA08,TA08-T03,HAS_TECHNIQUE,low
TA08,TA08-T04,HAS_TECHNIQUE,medium
TA08,TA08-T05,HAS_TECHNIQUE,medium
TA08,TA08-T06,HAS_TECHNIQUE,high
TA08,TA08-T07,HAS_TECHNIQUE,high
TA08,TA08-T08,HAS_TECHNIQUE,medium
TA08,TA08-T09,HAS_TECHNIQUE,medium
TA08,TA08-T10,HAS_TECHNIQUE,high
TA08,TA08-T11,HAS_TECHNIQUE,medium
TA08,TA08-T12,HAS_TECHNIQUE,high
TA08,TA08-T13,HAS_TECHNIQUE,high
TA08,TA08-T14,HAS_TECHNIQUE,medium
TA08,TA08-T15,HAS_TECHNIQUE,medium
TA09,TA09-T01,HAS_TECHNIQUE,high
TA09,TA09-T02,HAS_TECHNIQUE,medium
TA09,TA09-T03,HAS_TECHNIQUE,medium
TA09,TA09-T04,HAS_TECHNIQUE,medium
TA09,TA09-T05,HAS_TECHNIQUE,medium
TA09,TA09-T06,HAS_TECHNIQUE,medium
TA09,TA09-T07,HAS_TECHNIQUE,low
TA09,TA09-T08,HAS_TECHNIQUE,medium
TA09,TA09-T09,HAS_TECHNIQUE,high
TA09,TA09-T10,HAS_TECHNIQUE,high
TA09,TA09-T11,HAS_TECHNIQUE,medium
TA09,TA09-T12,HAS_TECHNIQUE,high
TA09,TA09-T13,HAS_TECHNIQUE,high
TA09,TA09-T14,HAS_TECHNIQUE,high
TA09,TA09-T15,HAS_TECHNIQUE,high
TA09,TA09-T16,HAS_TECHNIQUE,high
TA09,TA09-T17,HAS_TECHNIQUE,medium
TA09,TA09-T18,HAS_TECHNIQUE,high
TA09,TA09-T19,HAS_TECHNIQUE,high
TA09,TA09-T20,HAS_TECHNIQUE,high
TA09,TA09-T21,HAS_TECHNIQUE,high
TA09,TA09-T22,HAS_TECHNIQUE,medium
TA09,TA09-T23,HAS_TECHNIQUE,medium
TA09,TA09-T24,HAS_TECHNIQUE,high
TA09,TA09-T25,HAS_TECHNIQUE,low
TA09,TA09-T26,HAS_TECHNIQUE,low
TA09,TA09-T27,HAS_TECHNIQUE,low
TA09,TA09-T28,HAS_TECHNIQUE,high
TA09,TA09-T29,HAS_TECHNIQUE,high
TA10,TA10-T01,HAS_TECHNIQUE,high
TA10,TA10-T02,HAS_TECHNIQUE,medium
TA10,TA10-T03,HAS_TECHNIQUE,medium
TA10,TA10-T04,HAS_TECHNIQUE,high
TA10,TA10-T05,HAS_TECHNIQUE,high
TA10,TA10-T06,HAS_TECHNIQUE,high
TA10,TA10-T07,HAS_TECHNIQUE,medium
TA10,TA10-T08,HAS_TECHNIQUE,low
TA11,TA11-T01,HAS_TECHNIQUE,high
TA11,TA11-T02,HAS_TECHNIQUE,medium
TA11,TA11-T03,HAS_TECHNIQUE,high
TA11,TA11-T04,HAS_TECHNIQUE,high
TA11,TA11-T05,HAS_TECHNIQUE,high
TA11,TA11-T06,HAS_TECHNIQUE,high
TA11,TA11-T07,HAS_TECHNIQUE,high
TA11,TA11-T08,HAS_TECHNIQUE,high
TA11,TA11-T09,HAS_TECHNIQUE,high
TA11,TA11-T10,HAS_TECHNIQUE,high
TA11,TA11-T11,HAS_TECHNIQUE,high
TA11,TA11-T12,HAS_TECHNIQUE,medium
TA11,TA11-T13,HAS_TECHNIQUE,high
TA11,TA11-T14,HAS_TECHNIQUE,high
TA11,TA11-T15,HAS_TECHNIQUE,medium
TA11,TA11-T16,HAS_TECHNIQUE,high
TA11,TA11-T17,HAS_TECHNIQUE,medium
TA12,TA12-T01,HAS_TECHNIQUE,high
TA12,TA12-T02,HAS_TECHNIQUE,high
TA12,TA12-T03,HAS_TECHNIQUE,high
TA12,TA12-T04,HAS_TECHNIQUE,medium
TA12,TA12-T05,HAS_TECHNIQUE,high
TA12,TA12-T06,HAS_TECHNIQUE,high
TA12,TA12-T07,HAS_TECHNIQUE,high
TA12,TA12-T08,HAS_TECHNIQUE,high
TA12,TA12-T09,HAS_TECHNIQUE,high
TA12,TA12-T10,HAS_TECHNIQUE,high
TA12,TA12-T11,HAS_TECHNIQUE,high
TA12,TA12-T12,HAS_TECHNIQUE,high
TA12,TA12-T13,HAS_TECHNIQUE,high
TA12,TA12-T14,HAS_TECHNIQUE,medium
TA12,TA12-T15,HAS_TECHNIQUE,high
TA12,TA12-T16,HAS_TECHNIQUE,high
TA13,TA13-T01,HAS_TECHNIQUE,medium
TA13,TA13-T02,HAS_TECHNIQUE,high
TA13,TA13-T03,HAS_TECHNIQUE,high
TA13,TA13-T04,HAS_TECHNIQUE,medium
TA13,TA13-T05,HAS_TECHNIQUE,medium
TA13,TA13-T06,HAS_TECHNIQUE,low
TA13,TA13-T07,HAS_TECHNIQUE,high
TA13,TA13-T08,HAS_TECHNIQUE,low
TA13,TA13-T09,HAS_TECHNIQUE,medium
TA14,TA14-T01,HAS_TECHNIQUE,high
TA14,TA14-T02,HAS_TECHNIQUE,high
TA14,TA14-T03,HAS_TECHNIQUE,high
TA14,TA14-T04,HAS_TECHNIQUE,high
TA14,TA14-T05,HAS_TECHNIQUE,high
TA14,TA14-T06,HAS_TECHNIQUE,high
TA14,TA14-T07,HAS_TECHNIQUE,high
TA14,TA14-T08,HAS_TECHNIQUE,high
TA14,TA14-T09,HAS_TECHNIQUE,high
TA14,TA14-T10,HAS_TECHNIQUE,high
TA14,TA14-T11,HAS_TECHNIQUE,high
TA14,TA14-T12,HAS_TECHNIQUE,high
TA14,TA14-T13,HAS_TECHNIQUE,low
