source_id,target_id,rel_type,column_order
FW-ATTACK-ENT,TA01,HAS_TACTIC,1
FW-ATTACK-ENT,TA02,HAS_TACTIC,2
FW-ATTACK-ENT,TA03,HAS_TACTIC,3
FW-ATTACK-ENT,TA04,HAS_TACTIC,4
FW-ATTACK-ENT,TA05,HAS_TACTIC,5
FW-ATTACK-ENT,TA06,HAS_TACTIC,6
FW-ATTACK-ENT,TA07,HAS_TACTIC,7
FW-ATTACK-ENT,TA08,HAS_TACTIC,8
FW-ATTACK-ENT,TA09,HAS_TACTIC,9
FW-ATTACK-ENT,TA10,HAS_TACTIC,10
FW-ATTACK-ENT,TA11,HAS_TACTIC,11
FW-ATTACK-ENT,TA12,HAS_TACTIC,12
FW-ATTACK-ENT,TA13,HAS_TACTIC,13
FW-ATTACK-ENT,TA14,HAS_TACTIC,14
