authoritybody_id,name,body_type,established_by_article,text,source_document
BODY-1,Personal Data Protection Authority,public authority,ART-27,A public authority called the “Personal Data Protection Authority” is hereby established. It shall have legal personality with financial and administrative independence and shall be subject to oversight by the Minister.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
BODY-2,Board of Directors,Board,ART-39,"The Authority shall have a Board made up of seven members, including a Chairman, and shall be constituted pursuant to a Decree as follows:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
BODY-3,Chief Executive,office,ART-43,"The Authority shall have a Chief Executive who shall be appointed, pursuant to a Decree, for a three years term upon the recommendation of the Board. His term of office may not be renewed for more than two consecutive terms",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
BODY-4,Appeal Tribunal,judicial tribunal,ART-34,"A judicial tribunal shall be established within the Authority, called (Appeal Tribunal). The Tribunal shall adjudicate appeals brought before it, pursuant to paragraph (1) of this Article.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
BODY-5,Investigation committee,committee,ART-47,"The Authority may carry out the investigation, or form a tripartite internal or external committee of competent individuals. The Authority may as well assign any qualified person to carry out such task.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
