datasubjectright_id,name,article_id,source_document
RIGHT-1,Information to be provided to the Data Subject,ART-17,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
RIGHT-2,Data Subject's Request to be notified upon processing of his Personal Data,ART-18,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
RIGHT-3,Notification to the Data Subject of the Right to Object to Direct Marketing,ART-19,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
RIGHT-4,Right to Object to Processing for Direct Marketing Purposes,ART-20,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
RIGHT-5,Right to object to processing causing material or moral damage to the Data Subject or Others,ART-21,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
RIGHT-6,Right to object to Decisions based on Automated Processing,ART-22,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
RIGHT-7,"Right to request rectification, blocking and erasure of data",ART-23,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
RIGHT-8,Data Subject's Consent,ART-24,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
RIGHT-9,Lodging Complaints,ART-25,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
