part_id,label,title,source_document
PART-1,Part (1),Provisions with respect to processing,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PART-2,Part II,Data Protection Authority,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PART-3,Part 3,Accountability of Data Controller and Data Guardian,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
