deadline_id,clause_id,period_text,source_document
DL-1,ART-10-1-d,after a period exceeding ten days from his notification thereof,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-2,ART-10-1-e,once every month,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-3,ART-10-4,within three (3) working days of such appointment,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-4,ART-14-4,within ten working days of receipt of a notification,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-5,ART-14-4,within a period not exceeding fifteen days from date of request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-6,ART-14-6,within thirty days from the date of such change,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-7,ART-15-2,"within five working days, of receipt of the request",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-8,ART-15-3,within thirty days of submission thereof,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-9,ART-17-2,within five days from the date of commencing registration of such data,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-10,ART-18-1,within a period not exceeding 15 working days of request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-11,ART-18-2,within a period not exceeding 10 days from receipt of a request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-12,ART-18-3,within a period not exceeding fifteen working days of receipt of the request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-13,ART-20-1,within a period not exceeding 10 working days of date of receipt of a request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-14,ART-20-2,within ten working days of receipt of request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-15,ART-21-1,within a period not exceeding ten working days from date of receipt of the Data Subject's request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-16,ART-23-1,within a period not exceeding ten working days of receipt of the request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-17,ART-23-5,within fifteen days from responding to such request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-18,ART-28-3,within a period not exceeding thirty (30) days from the date of referral by the Minister,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-19,ART-33-2,within a period not exceeding four (4) months of the end of the financial year,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-20,ART-34-1,within thirty days of becoming aware of the decision,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-21,ART-39-2,within (30) days of receiving notification to nominate a representative,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-22,ART-41-1,within 15 days of the receipt of a reasoned written request,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-23,ART-44-1-c,at least two months prior to the end of the financial year,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-24,ART-44-1-d,within two months from the end of the financial year,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-25,ART-44-1-e,within a period not exceeding 3 months from the end of the financial year,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-26,ART-44-1-g,every three months,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-27,ART-47-3,within 7 working days from receiving the notice,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-28,ART-49-1,within 8 days of its issuance,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DL-29,ART-56-3,within 8 days from the date of issue of such order,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
