preamblecitation_id,order,text,source_document
PRE-1,1,Having perused the Constitution; and,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-2,2,"The Civil and Commercial Procedures Law promulgated by Legislative Decree No. (12) of 1971, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-3,3,"Legislative Decree No. (13) of 1972 with respect to Courts Fees, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-4,4,"Law No. (13) of 1975 regulating pensions and remunerations for government employees, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-5,5,"The Penal Code promulgated by Legislative Decree No. (15) of 1976, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-6,6,Legislative Decree No. (7) of 1977 with respect to Statistics and Census;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-7,7,Legislative Decree No. (9) of 1984 with respect to Central Population Register; as amended by Law No. (45) of 2006;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-8,8,"Law of Evidence in Civil and Commercial matters promulgated by Legislative Decree No. (14) of 1996, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-9,9,"Legislative Decree No. (28) of 2002 with Respect to Electronic Transactions, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-10,10,"The Judicial Authority Law promulgated by Legislative Decree No. (42) of 2002, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-11,11,"The Criminal Procedural Law promulgated by Legislative Decree No. (46) of 2002, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-12,12,"Legislative Decree No. (47) of 2002 with respect to organization of Press, printing, and publishing;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-13,13,"Law of Telecommunication promulgated by Legislative Decree No. (48) of 2002, as amended by Legislative Decree No (38) of 2017;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-14,14,"Law No. (7) of 2003 with respect to Trade Secrets, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-15,15,Law No. (7) of 2006 ratifying Arab Charter for Human Rights;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-16,16,Law No. (46) of 2006 with respect to National Identification Card;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-17,17,Law No. (56) of 2006 with respect to Approving accession of the Government of the Kingdom of Bahrain to International Covenant on Civil and Political Rights;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-18,18,"Central Bank of Bahrain and Financial Institutions Law promulgated by Law No (64) of 2006, as amended;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-19,19,"Law No. (10) of 2007 with respect to Approving accession of the Government of the Kingdom of Bahrain to International Covenant on Economic, Social, and Cultural rights;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-20,20,"Civil Service Law promulgated by Legislative Decree No. (48) of 2010, as amended by Legislative Decree No. (69) of 2014;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PRE-21,21,Law No. (60) of 2014 with respect to Cybercrime.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
