definition_id,term,definition,defined_in_article,source_document
DEF-1,Data or Personal Data,"any information in any form concerning an identified individual, or an individual who can, directly or indirectly, be identified by reference, in particular, to his or her personal identification number, or by reference to one or more factors specific to his or her physical, physiological, intellectual, cultural, economic, or social identity. In determining whether an individual is identifiable, all the means that the data controller or any other person uses or may have access to should be taken into consideration.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-2,Sensitive Personal Data,"any personal information revealing -directly or indirectly- about an individual's race, ethnical origin, political or philosophical opinions, religious beliefs, affiliation to union, personal criminal record, or any information in relation to his health or sexual status.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-3,Processing,"any operation or set of operations which is performed upon personal data, whether or not by automatic means, including collecting, recording, organizing, classifying into groups, storing, adapting, altering, retrieving, using, disclosing by transmission, dissemination, transference or otherwise making available for others, or combining, blocking, erasing or destructing such data.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-4,Filing system,"any set of personal data that does not get processed by means of automatic equipment operating in response to instructions given for that purpose, but is rather structured in such a way that information relating to a particular individual's personal data is readily accessible.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-5,Person,"any natural or legal person, including any public entity.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-6,Individual,any natural person.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-7,Data Controller,"a person who, either alone or jointly with other persons, determines the purposes and means of processing any particular personal data; except that where the purposes and means of the processing of personal data are determined by law, the person entrusted with the processing obligation is deemed for the purposes of this Law to be the data controller.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-8,Data processor,"a person, other than an employee of the data controller or data processor, who processes personal data for the Data Controller's benefit and on the Data Controller's behalf.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-9,Data protection guardian,The person appointed by the Authority pursuant to Article (10) of this Law.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-10,Data Subject,The person or individual subject of data.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-11,Third party,"any person other than any of the following: 1. Data subject; 2. Data controller; 3. Data processor; 4. Data protection guardian; or 5. Any person, under the direct authority of the data controller or data processor, authorized to process data for the benefit of data controller or data processor.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-12,Data recipient,"Any person to whom personal data is disclosed, whether a third party or not, provided that disclosure is not for the purpose of pursuing a particular jurisdiction or to exercise a particular public duty.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-13,Blocking,"marking stored data, by any means, to prevent its further processing, except for storing it.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-14,Direct marketing,"communication, by whatever means, of any marketing material or advertisement which is directed to a particular person.",ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-15,Minister,The Minister of Justice or any other Minister designated pursuant to a Decree.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-16,Authority,Personal Data Protection Authority established pursuant to Article (27) of this Law.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-17,Board or Board of Directors,the Authority's Board of Directors formed pursuant to Article (39) of this Law.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-18,Chairman or Board's Chairman,The Chairman of Authority's Board of Directors.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-19,Chief Executive,Chief Executive of the Authority appointed pursuant to Article (43) of this Law.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-20,Appeals Committee,The committee as referred to in paragraph (2) of Article (34) of this Law.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
DEF-21,Investigation Committee,The committee formed pursuant to Paragraph (5) of Article (47) of this Law.,ART-1,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
