source_id,target_id,rel_type,citation
ART-5-2,ART-15,REFERENCES_ARTICLE,Article (15)
ART-10-1-e,ART-14,REFERENCES_ARTICLE,Article (14)
ART-13-1,ART-12,REFERENCES_ARTICLE,Article (12)
ART-13-2,ART-12,REFERENCES_ARTICLE,Article (12)
ART-14-2-e,ART-8,REFERENCES_ARTICLE,Article (8)
ART-14-5,ART-16,REFERENCES_ARTICLE,Article (16)
ART-15-1-a,ART-5,REFERENCES_ARTICLE,Article (5)
ART-15-2,ART-14,REFERENCES_ARTICLE,Article (14)
ART-16-1-a,ART-14,REFERENCES_ARTICLE,Article (14)
ART-16-1-b,ART-14,REFERENCES_ARTICLE,Article (14)
ART-16-1-e,ART-15,REFERENCES_ARTICLE,Article (15)
ART-17-4,ART-20,REFERENCES_ARTICLE,Article (20)
ART-21-2,ART-4,REFERENCES_ARTICLE,Article (4)
ART-21-3,ART-20,REFERENCES_ARTICLE,Article (20)
ART-23-4,ART-20,REFERENCES_ARTICLE,Article (20)
ART-29-2-c,ART-10,REFERENCES_ARTICLE,Article (10)
ART-29-2-c,ART-16,REFERENCES_ARTICLE,Article (16)
ART-29-2-c,ART-34,REFERENCES_ARTICLE,Article (34)
ART-29-2-d,ART-55,REFERENCES_ARTICLE,Article (55)
ART-30-4,ART-14,REFERENCES_ARTICLE,Article (14)
ART-30-5,ART-15,REFERENCES_ARTICLE,Article (15)
ART-30-6,ART-10,REFERENCES_ARTICLE,Article (10)
ART-32-3,ART-16,REFERENCES_ARTICLE,Article (16)
ART-37-3-c,ART-30,REFERENCES_ARTICLE,Article (30)
ART-40-4,ART-29,REFERENCES_ARTICLE,Article (29)
ART-44-1-e,ART-33,REFERENCES_ARTICLE,Article (33)
ART-55-1-a,ART-15,REFERENCES_ARTICLE,Article (15)
ART-58-1-a,ART-5,REFERENCES_ARTICLE,Article (5)
ART-58-1-b,ART-12,REFERENCES_ARTICLE,Article (12)
ART-58-1-b,ART-13,REFERENCES_ARTICLE,Article (13)
ART-58-1-c,ART-14,REFERENCES_ARTICLE,Article (14)
ART-58-1-d,ART-14,REFERENCES_ARTICLE,Article (14)
ART-58-1-e,ART-15,REFERENCES_ARTICLE,Article (15)
ART-58-2,ART-32,REFERENCES_ARTICLE,Article (32)
ART-6,ART-3,REFERENCES_ARTICLE,Article (3)
ART-6,ART-4,REFERENCES_ARTICLE,Article (4)
ART-6,ART-5,REFERENCES_ARTICLE,Article (5)
ART-50,ART-36,REFERENCES_ARTICLE,Article (36)
ART-53,ART-52,REFERENCES_ARTICLE,Article (52)
ART-54,ART-53,REFERENCES_ARTICLE,Article (53)
ART-54,ART-55,REFERENCES_ARTICLE,Article (55)
ART-59,ART-58,REFERENCES_ARTICLE,Article (58)
ART-60,ART-58,REFERENCES_ARTICLE,Article (58)
