clause_id,article_id,parent_clause_id,label,level,citation,text,source_document
ART-2-1,ART-2,,1,1,Article (2)(1),"This Law shall apply to any processing, where performed as follows:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-1-a,ART-2,ART-2-1,a,2,Article (2)(1)(a),Processing of data by total or partial automatic means.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-1-b,ART-2,ART-2-1,b,2,Article (2)(1)(b),The processing by non- automatic means of data which form part of a filing system or are intended to form part of a filing system.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-2,ART-2,,2,1,Article (2)(2),This Law shall apply to the following persons:,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-2-a,ART-2,ART-2-2,a,2,Article (2)(2)(a),Every natural person who is habitually resident in the Kingdom or maintains a place of business in the Kingdom;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-2-b,ART-2,ART-2-2,b,2,Article (2)(2)(b),Every legal person with a place of business in the Kingdom;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-2-c,ART-2,ART-2-2,c,2,Article (2)(2)(c),"Every natural or legal person not habitually resident nor maintains a place of business in the Kingdom, but processes data by using means situated in the Kingdom, unless such means are used only for purposes of transit of data over the Kingdom's territory.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-3,ART-2,,3,1,Article (2)(3),"Every legal person identified under Paragraph 2(c) of this Article shall appoint a representative who is authorized on his behalf to undertake obligations in the Kingdom as set out under this Law, and shall immediately notify the Authority about such appointment and all amendments thereof. This appointment shall not preclude any legal recourse that could otherwise be initiated by the Authority or others against the data controller upon the data controller's violation of any of his specified duties.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-4,ART-2,,4,1,Article (2)(4),"Notwithstanding provisions of Paragraph (1) of this Article, the provisions of this Law shall not apply to the following:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-4-a,ART-2,ART-2-4,a,2,Article (2)(4)(a),The processing of data undertaken by any individual for the sole purposes of this individual's personal or family affairs; and,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-4-b,ART-2,ART-2-4,b,2,Article (2)(4)(b),"Processing operations concerning public security handled by the Ministry of Defense, Ministry of Interior, National Guard, National Security Service, or other security body in the Kingdom.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-2-5,ART-2,,5,1,Article (2)(5),The provisions of this Law shall not prejudice any duties of confidentiality in relation to the Bahrain Defense Force matters.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-3-1,ART-3,,1,1,Article (3)(1),Personal data is processed fairly and lawfully.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-3-2,ART-3,,2,1,Article (3)(2),"Personal data is collected for specific, explicit and legitimate purpose and shall not be further processed in a way incompatible with the purpose for which it was collected. Further processing of personal data for historical, statistical or scientific purposes shall not be considered incompatible with this requirement subject to ensuring that the data is not processed for supporting any decision or measure regarding a particular individual.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-3-3,ART-3,,3,1,Article (3)(3),"Personal data should be adequate, relevant and not excessive in relation to the purpose for which it was collected or further processed.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-3-4,ART-3,,4,1,Article (3)(4),"Personal data should be correct, accurate and, where relevant, kept up to date; and",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-3-5,ART-3,,5,1,Article (3)(5),"Shall not be kept in a form which permits identification of data subject once the purpose for which the data was collected or further processed was achieved. Personal data that is stored for longer periods for historical, statistical or scientific use, shall only be kept in anonymous form, by modifying the Personal data into a form in which it cannot be associated with the data subject, if that is not possible, the identity of the data subjects must be encrypted.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-4-1,ART-4,,1,1,Article (4)(1),performance of a contract to which the data subject is a party;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-4-2,ART-4,,2,1,Article (4)(2),taking steps at the request of the data subject with the purpose of entering into a contract;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-4-3,ART-4,,3,1,Article (4)(3),"the compliance with any legal obligation, other than an obligation imposed by contract, or the compliance with orders issued by a competent court or the Public Prosecution;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-4-4,ART-4,,4,1,Article (4)(4),protecting the vital interests of the data subject; or,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-4-5,ART-4,,5,1,Article (4)(5),"Pursuing the legitimate interests of the Data Controller or any third party to whom personal data has been disclosed to, provided that it is not in conflict with fundamental rights and freedoms of the data subject.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-1,ART-5,,1,1,Article (5)(1),"processing is necessary for the purposes of carrying out the obligations and rights of the data controller, as stipulated by law with respect to those working under his authority in the course of employment,",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-2,ART-5,,2,1,Article (5)(2),"processing is necessary to protect any individual, where the data subject or the data subject's custodian, legal guardian, or conservator, is legally incapable of giving his or her consent, subject to obtaining the Authority's prior approval pursuant to Article (15) of this Law;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-3,ART-5,,3,1,Article (5)(3),"processing relates to data which is made available to the public, by the data subject;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-4,ART-5,,4,1,Article (5)(4),"processing is necessary for pursuing any legal claims or defenses, including the needed preparations thereof;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-5,ART-5,,5,1,Article (5)(5),"processing that is necessary for the purposes of preventive medicine, medical diagnosis, provision of healthcare or treatment, or for the management of healthcare services which is carried out by a licensed member of a medical profession, or by any other person who is bound by a duty of confidentiality as imposed by law;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-6,ART-5,,6,1,Article (5)(6),"processing carried out in the course of activities of associations, of all kinds, unions and other non- profit-seeking bodies, provided that:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-7,ART-5,,7,1,Article (5)(7),Processing is carried out by a competent public body to the extent necessary to carry out its legitimate duties as laid down by virtue of a law.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-8,ART-5,,8,1,Article (5)(8),"Processing of data relating to racial, ethnic, or religious origins where the processing is necessary for the purpose of identifying the existence or absence of equality of opportunity or treatment between members of the society of different racial or ethnic or religious origins, provided that such processing is carried out with appropriate safeguards for the rights and freedoms of data subjects as prescribed by law.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-6-a,ART-5,ART-5-6,a,2,Article (5)(6)(a),"the processing is carried out only where necessary for the purpose of what the association, union or body has been established for;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-6-b,ART-5,ART-5-6,b,2,Article (5)(6)(b),"the processing relates solely to data which belongs to the members of this association, union, body or individuals who have regular contact with such association, union or body with reference to the nature of its activity; and",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-6-c,ART-5,ART-5-6,c,2,Article (5)(6)(c),"the data shall not to be disclosed to any other person, except where the data subject consents to such disclosure.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-5-closing,ART-5,,closing paragraph,1,Article (5)(closing paragraph),The Board shall issue a resolution setting out all rules and procedures applicable to Data Controllers with regards to the processing referred to herein.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-6-1,ART-6,,1,1,Article (6)(1),"data is correct, accurate and is kept up to date;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-6-2,ART-6,,2,1,Article (6)(2),"providing safeguarding measures to prevent the use of data for purposes other than those related to press, arts, and literature; and",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-6-3,ART-6,,3,1,Article (6)(3),"processing is in compliance with laws organizing Press, printing, and publishing.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-7-1,ART-7,,1,1,Article (7)(1),"It is prohibited to process personal data concerning instituting and pursuing of criminal proceedings, or processing of personal data in judgments reached in criminal proceedings, except for the following:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-7-1-a,ART-7,ART-7-1,a,2,Article (7)(1)(a),Processing by a competent public body if processing is necessary for the fulfillment of its legal duties;,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-7-1-b,ART-7,ART-7-1,b,2,Article (7)(1)(b),"Processing by any legal person, if processing is necessary for the realization of objectives that have been laid down by virtue of the law;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-7-1-c,ART-7,ART-7-1,c,2,Article (7)(1)(c),"Processing by any person, as far as necessary to pursue litigations brought by or against this person.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-7-1-d,ART-7,ART-7-1,d,2,Article (7)(1)(d),"Processing by attorneys at law, as far as necessary to pursue interests of their clients;",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-7-1-e,ART-7,ART-7-1,e,2,Article (7)(1)(e),Processing that is necessary to carry out the profession of journalism or for scientific research purposes.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-7-2,ART-7,,2,1,Article (7)(2),The exceptions granted by virtue of Paragraph (1) of this article does not derogate from the obligations of maintaining confidentiality of data as the law may prescribe. The Board shall pass a resolution setting out specific conditions and safeguards to be adhered to for protecting the confidentiality of the data referred to herein.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-7-3,ART-7,,3,1,Article (7)(3),"A complete register of criminal cases and judgments delivered in criminal proceedings, may be created and kept only by the Public Prosecution, Military Judiciary, Military Prosecution, Ministry of Justice, and Ministry of Interior.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
ART-8-1,ART-8,,1,1,Article (8)(1),"The Data Controller shall implement appropriate technical and organizational measures to guarantee protection of data against accidental or unauthorized destruction, accidental loss, as well as against alteration or disclosure of, access to and any other unauthorized forms of processing. Such measures shall ensure providing appropriate level of security taking into account the latest technological security measures, the associated cost, the nature of the data to be processed and the potential risks involved. The technical and organizational measures must be recorded and accessible by all relevant parties, the Authority, Data Controller and Data Processor.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
