penalty_id,clause_id,penalty_type,imprisonment,fine_min,fine_max,text,source_document
PEN-55-1-b,ART-55-1-b,Administrative daily penalty,,,BD1000/- per day (first time violation); BD2000/- per day (second time violation within 3 years),"Imposing a daily penalty, to force the offender to stop his violation and remove its reasons and effects thereof. In the event of first time violation, the penalty shall not exceed BD1000/- per day. However, in the event of second time violation within 3 years from the date of issuing a decision with respect to the offender's first violation, the penalty shall be BD2000/- per day.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PEN-55-1-c,ART-55-1-c,Administrative penalty,,,twenty thousand Bahraini dinars,Imposing administrative penalty not exceeding twenty thousand Bahraini dinars.,KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PEN-58-1,ART-58-1,Criminal penalty,imprisonment for a term not exceeding one year,BD 1000/-,"BD 20,000/-","A person shall be liable to imprisonment for a term not exceeding one year, and / or a fine not less than BD 1000/- and not exceeding BD 20,000/- in the following circumstance:",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PEN-58-2,ART-58-2,Criminal penalty,,"BD 3,000/-","BD 20, 000/-","A person, in breach of paragraph (1) and (2) of Article (32) of this Law, shall be liable to fine not less than BD 3,000/- and not exceeding BD 20, 000/-. In the event of conviction, a court may order confiscation of amounts resulting from the crime.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
PEN-58-3,ART-58-3,Criminal penalty,imprisonment for a term not exceeding one month,BD 100/-,BD 500/-,"A person shall be liable to imprisonment for a term not exceeding one month, and / or a fine not less than BD 100/- and not exceeding BD 500/-, if he unlawfully uses the Authority's logo or if a an identical or similar sign or symbol is used.",KB 2/Bahrain/Bahrain Personal Data Protection Law.pdf
