right_id,name,description,section_id
RIGHT-CONFIRM-ACCESS,Right to Confirm and Access,To confirm whether or not a controller is processing the consumer's personal data and to access such personal data.,59.1-577
RIGHT-CORRECT,Right to Correct,"To correct inaccuracies in the consumer's personal data, taking into account the nature of the personal data and the purposes of the processing of the consumer's personal data.",59.1-577
RIGHT-DELETE,Right to Delete,To delete personal data provided by or obtained about the consumer.,59.1-577
RIGHT-PORT,Right to Data Portability,"To obtain a copy of the consumer's personal data that the consumer previously provided to the controller in a portable and, to the extent technically feasible, readily usable format that allows the consumer to transmit the data to another controller without hindrance, where the processing is carried out by automated means.",59.1-577
RIGHT-OPTOUT,Right to Opt Out,"To opt out of the processing of the personal data for purposes of (i) targeted advertising, (ii) the sale of personal data, or (iii) profiling in furtherance of decisions that produce legal or similarly significant effects concerning the consumer.",59.1-577
RIGHT-APPEAL,Right to Appeal,"A controller shall establish a process for a consumer to appeal the controller's refusal to take action on a request within a reasonable period of time after the consumer's receipt of the decision. Within 60 days of receipt of an appeal, a controller shall inform the consumer in writing of any action taken or not taken in response to the appeal, including a written explanation of the reasons for the decisions. If the appeal is denied, the controller shall also provide the consumer with an online mechanism, if available, or other method through which the consumer may contact the Attorney General to submit a complaint.",59.1-577
