requirement_id,event_type_id,trigger_condition
VCDPA-59.1-577-R1,ACCESS_REQUEST,on-request
VCDPA-59.1-577-R2,CORRECTION_REQUEST,on-request
VCDPA-59.1-577-R3,DELETION_REQUEST,on-request
VCDPA-59.1-577-R4,PORTABILITY_REQUEST,on-request
VCDPA-59.1-577-R5,OPT_OUT_TARGETED_AD,on-request
VCDPA-59.1-578-R5,CONSENT,prior-to-processing
VCDPA-59.1-580-R1,DPA_REQUIRED,prior-to-activity
VCDPA-59.1-580-R2,DPA_REQUIRED,prior-to-activity
