internetconnectivityfeature_id,feature,stated_in,document_id,source_document
ICF-01,"Network, server, or Cloud Service Provider connections;",VII.B,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ICF-02,"Radio-frequency communications (e.g., Wi-Fi, cellular, Bluetooth, Bluetooth Low Energy);",VII.B,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ICF-03,Magnetic inductive communications;60 and,VII.B,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ICF-04,"Hardware connectors capable of connecting to the internet (e.g., USB, ethernet, serial port).61",VII.B,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
