architectureview_id,view,subsection_id,stated_in,document_id,source_document
AV-01,Global System View;,V.B.2.a,V.B.2,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
AV-02,Multi-Patient Harm View;,V.B.2.b,V.B.2,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
AV-03,Updateability/Patchability View; and,V.B.2.c,V.B.2,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
AV-04,Security Use Case View(s).,V.B.2.d,V.B.2,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
