submissiontype_id,submission_type,stated_in,document_id,source_document
ST-01,Premarket Notification (510(k)) submissions;,II,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ST-02,De Novo requests;,II,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ST-03,Premarket Approval Applications (PMAs) and PMA supplements;,II,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ST-04,Product Development Protocols (PDPs);,II,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ST-05,Investigational Device Exemption (IDE) submissions;,II,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ST-06,Humanitarian Device Exemption (HDE) submissions;,II,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ST-07,Biologics License Application (BLA) submissions; and,II,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
ST-08,Investigational New Drug (IND) submissions.,II,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
