submissiondocumentationelement_id,type_of_premarket_submission_documentation,parent_id,guidance_sections,ide_submission,stated_in,document_id,source_document
DE-01,Cybersecurity Risk Management Report,,"Sections V, VI.B","Could be helpful to submit, but not specifically recommended",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-02,Threat Model (may include Architecture Views),DE-01,"Sections V.A.1, V.A.3, V.A.4, V.A.5, V.B.2, Appendix 1, Appendix 2","Could be helpful to submit, but not specifically recommended (see Architecture View recommendations)",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-03,Cybersecurity Risk Assessment,DE-01,"Sections V.A.2, V.A.3, V.A.4, V.A.5, V.A.6","Could be helpful to submit, but not specifically recommended",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-04,SBOM,DE-01,"Sections V.A.4, VI.A",Recommended,APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-05,Vulnerability Assessment and Software Support,DE-01,Section V.A.4,"Could be helpful to submit, but not specifically recommended",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-06,Unresolved Anomalies Assessment,DE-01,Section V.A.5,"Could be helpful to submit, but not specifically recommended",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-07,Traceability,DE-01,"Sections V.A, V.A.1, V.A.2, V.A.3, V.A.4. V.A.5, V.A.6, V.B.1, V.B.2, V.C, VI.A","Could be helpful to submit, but not specifically recommended",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-08,Measures and Metrics,,Section V.A.6,"Could be helpful to submit, but not specifically recommended",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-09,Architecture Views,,Section V.B,"Recommended: Global, Multi-patient and Updateability/Patchability views; Security Use Case views for functionality with safety risks",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-10,Requirements,DE-09,"Sections V.B.1, Appendix 1","Recommended: Global, Multi-patient and Updateability/Patchability views; Security Use Case views for functionality with safety risks",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-11,Architecture Views (may be included in Threat Model),DE-09,"Sections V.A.1, V.B.2, Appendix 1, Appendix 2","Recommended: Global, Multi-patient and Updateability/Patchability views; Security Use Case views for functionality with safety risks",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-12,Testing,,Section V.C,"Could be helpful to submit, but not specifically recommended",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-13,Labeling,,Section VI.A,"Recommended: Informed Consent Form to include cybersecurity risks; General Cybersecurity Labeling - Connectivity and associated general cybersecurity risks, updateability/process",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
DE-14,Cybersecurity Management Plans,,Section VI.B,"Could be helpful to submit, but not specifically recommended",APP4,FDA-CYBER-PREMARKET-2026,KB 2/USA/FDA Cybersecurity for Medical Devices.pdf
